Res.	Record	Opponent	Method	Event	Round	Time
Loss	14-2-1	Dan Christison	Submission (armbar)	WEC 13 - Heavyweight Explosion	1	3:26
Draw	14-1-1	Ruben Villareal	Draw	SB 38 - SuperBrawl 38	3	5:00
Win	14-1	Gabe Beauperthy	Submission (kimura)	EC 57 - Extreme Challenge 57	1	3:34
Win	13-1	Johnathan Ivey	Submission (bad position)	SB 30 - Collision Course	1	1:38
Win	12-1	Ray Seraille	Submission (neck crank)	SB 28 - SuperBrawl 28	1	2:49
Win	11-1	Joe Campanella	TKO	EC 27 - Extreme Challenge 27	1	2:07
Win	10-1	Ron Waterman	KO	UFC 21	1	2:51
Loss	9-1	Gary Goodridge	Submission (punches)	UFC 19	1	0:43
Win	9-0	Jamie Schell	TKO	ICF 1 - Iowa Cage Fighting 1	1	1:25
Win	8-0	Jamie Schell	TKO	MFC 1 - Midwest Fighting 1	1	1:35
Win	7-0	Dave Kirshman	Submission	MFC 1 - Midwest Fighting 1	1	0:10
Win	6-0	Phil Breecher	N/A	EC 19 - Extreme Challenge 19	1	0:35
Win	5-0	Harry Moskowitz	KO	UFC 17	1	3:15
Win	4-0	Jason Brewer	Submission (strikes)	EC 15 - Extreme Challenge 15	1	0:39
Win	3-0	Sam Adkins	Submission	EC 11 - Extreme Challenge 11	1	4:02
Win	2-0	Jim Axtell	Submission	EC 4 - Extreme Challenge 4	1	5:41
Win	1-0	Trevor Thrasher	Submission	EC 2 - Extreme Challenge 2	1	3:59
