Tie no	Home team	Score	Away team	Date
1	Enfield	1–4	Cardiff City	11 December 1988
2	Blackpool	3–0	Bury	10 December 1988
3	Bath City	0–0	Welling United	10 December 1988
Replay	Welling United	3–2	Bath City	14 December 1988
4	Yeovil Town	1–1	Torquay United	10 December 1988
Replay	Torquay United	1–0	Yeovil Town	14 December 1988
5	Reading	1–1	Maidstone United	10 December 1988
Replay	Maidstone United	1–2	Reading	14 December 1988
6	Bolton Wanderers	1–2	Port Vale	10 December 1988
7	Grimsby Town	3–2	Rotherham United	10 December 1988
8	Northwich Victoria	1–2	Tranmere Rovers	10 December 1988
9	Scarborough	0–1	Carlisle United	10 December 1988
10	Doncaster Rovers	1–3	Sheffield United	11 December 1988
11	Aylesbury United	0–1	Sutton United	10 December 1988
12	Altrincham	0–3	Halifax Town	10 December 1988
13	Bognor Regis Town	0–1	Cambridge United	10 December 1988
14	Huddersfield Town	1–0	Chester City	10 December 1988
15	Runcorn	0–3	Crewe Alexandra	10 December 1988
16	Kettering Town	2–1	Bristol Rovers	10 December 1988
17	Aldershot	1–1	Bristol City	10 December 1988
Replay	Bristol City	0–0	Aldershot	13 December 1988
Replay	Aldershot	2–2	Bristol City	20 December 1988
Replay	Bristol City	1–0	Aldershot	22 December 1988
18	Peterborough United	0–0	Brentford	10 December 1988
Replay	Brentford	3–2	Peterborough United	14 December 1988
19	Colchester United	2–2	Swansea City	10 December 1988
Replay	Swansea City	1–3	Colchester United	13 December 1988
20	Hartlepool United	1–0	Notts County	10 December 1988
