No.	Date	Tournament	Winning score	To par	Margin of victory	Runner(s)-up
1	28 Sep 2003	Miyagi TV Cup Dunlop Ladies Open (as an amateur )	70-70-71=211	–5	1 stroke	Mari Katayama Hiroko Yamaguchi
2	7 Mar 2004	Daikin Orchid Ladies	70-66-70=206	–10	3 strokes	Kaori Higo
3	13 Jun 2004	Suntory Ladies Open	69-70-70-68=277	–11	6 strokes	Hiroko Yamaguchi Toshimi Kimura
4	20 Jun 2004	APiTA Circle K Sunkus Ladies	69-69-72=210	–6	1 stroke	Yuri Fudoh
5	24 Oct 2004	Masters GC Ladies	69-68-68=205	–11	1 stroke	Miho Koga
6	21 Nov 2004	Daio Paper Elleair Ladies Open	66-67-69=202	–14	3 strokes	Chieko Amanuma Rui Kitada
7	15 May 2005	Vernal Ladies	69-64-70=203	–13	8 strokes	Akiko Fukushima
8	22 May 2005	Chukyo TV Bridgestone Ladies Open	65-74-70=209	–7	Playoff	Nikki Campbell
9	21 Aug 2005	New Catapillar Mitsubishi Ladies	66-75-68=209	–10	3 strokes	Mi-Jeong Jeon Hiromi Mogi
10	2 Oct 2005	Japan Women's Open Golf Championship	69-69-72-73=283	–5	5 strokes	Akiko Fukushima
12	20 Nov 2005	Daio Paper Elleair Ladies Open	69-70-65=204	–12	5 strokes	Shiho Oyama Woo-Soon Ko Kasumi Fujii
13	10 Sep 2006	JLPGA Championship Konica Minolta Cup	70-68-74-70=282	–6	3 strokes	Hyun-Ju Shin
14	24 Sep 2006	Miyagi TV Cup Dunlop Ladies Open	70-73-71=214	–2	3 strokes	Shiho Oyama
