Date	Opponent	Location	Result	Attendance
09/09/1972	Davidson	Groves Stadium • Winston-Salem, NC	W 26-20	17,000
09/16/1972	at SMU	Texas Stadium • Irving, TX	L 10-56	20,175
09/23/1972	at #5 Tennessee	Neyland Stadium • Knoxville, TN	L 6-45	66,266
10/07/1972*	at Maryland	Byrd Stadium • College Park, MD	L 0-23	15,000
10/14/1972*	North Carolina State	Groves Stadium • Winston-Salem, NC	L 13-42	25,000
10/21/1972*	North Carolina	Groves Stadium • Winston-Salem, NC	L 0-21	27,000
10/28/1972*	Clemson	Groves Stadium • Winston-Salem, NC	L 0-31	16,000
11/04/1972	at South Carolina	Williams-Brice Stadium • Columbia, SC	L 3-35	38,689
11/11/1972*	at Duke	Wallace Wade Stadium • Durham, NC	W 9-7	18,025
11/18/1972*	Virginia	Groves Stadium • Winston-Salem, NC	L 12-15	18,000
11/25/1972	Virginia Tech	Groves Stadium • Winston-Salem, NC	L 9-44	6,500
