Date	Visitor	Score	Home	Decision	Attendance	Record
February 1	Vancouver	3 – 4	Florida	Vokoun	17,523	23–25–5
February 2	Florida	3 – 2	Tampa Bay	Vokoun	19,977	24–25–5
February 5	Florida	8 – 0	Toronto	Vokoun	19,430	25–25–5
February 7	Florida	4 – 5	Ottawa	Vokoun	19,435	25–26–5
February 9	Florida	6 – 3	Boston	Vokoun	19,893	26–26–5
February 10	Florida	3 – 5	Buffalo	Anderson	18,690	26–27–5
February 13	Montreal	2 – 1	Florida	Vokoun	17,100	26–27–6
February 15	Washington	2 – 4	Florida	Vokoun	16,202	27–27–6
February 16	Florida	4 – 5	Carolina	Vokoun	17,737	27–28–6
February 19	Florida	2 – 2	Pittsburgh	Vokoun	17,075	27–29–6
February 21	Boston	5 – 4	Florida	Vokoun	14,992	27–29–7
February 23	Florida	2 – 1	Philadelphia	Anderson	19,629	28–29–7
February 24	Florida	0 – 5	NY Rangers	Anderson	17,645	28–30–7
February 27	Toronto	4 – 3	Florida	Vokoun	14,457	28–30–8
February 29	Minnesota	3 – 2	Florida	Vokoun	17,897	28–31–8
