Place	Player	Country	Score	To par	Money ( $ )
1	Jack Nicklaus	United States	63-71-70-68=272	–8	55,000
2	Isao Aoki	Japan	68-68-68-70=274	–6	29,500
T3	Keith Fergus	United States	66-70-70-70=276	–4	17,400
T3	Lon Hinkle	United States	66-70-69-71=276	–4	17,400
T3	Tom Watson	United States	71-68-67-70=276	–4	17,400
T6	Mark Hayes	United States	66-71-69-74=280	E	11,950
T6	Mike Reid	United States	69-67-75-69=280	E	11,950
T8	Hale Irwin	United States	70-70-73-69=282	+2	8,050
T8	Mike Morley	United States	73-68-69-72=282	+2	8,050
T8	Andy North	United States	68-75-72-67=282	+2	8,050
T8	Ed Sneed	United States	72-70-70-70=282	+2	8,050
