Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1987	Peter Axelsson	Nina Sundberg	Peter Axelsson Stefan Axelsson	Nina Sundberg Ulrica von Pfaler	Peter Axelsson Elrica von Pfaler
1988	Nicolas Pissis	Christine Heatly	Panayiottis Poupas Athos Shiakallis	Matilda Kazantziak Sophia Kyprianou	Andros Kyprianou Christine Heatly
1989	Vladimir Serov	Irina Serova	Vladimir Serov Vladimir Smolin	Tatyana Arefyeva Irina Serova	Vladimir Serov Irina Serova
1990	Stoyan Ivanchev	Diana Filipova	Ivan Dobrev P. Stoyanov	Diana Filipova Aneta Stamboliiska	Ivan Dobrev Diana Dilipova
1991	Tomasz Mendrek	Nelli Nedjalkova	Anatoliy Skripko Stoyan Ivantchev	Irina Dimitrova Nelli Nedjalkova	Attila Nagy Csilla Forian
1992	Rene Valentin	Mette Andersen	Rene Valentin Lars Uhre	Beate Dejaco Petra Irsara	Lars Uhre Mette Andersen
1993	Nicolas Pissis	Diana Knekna	Juraj Brestovský Jaroslav Heles	Beate Dejaco Suzie Carnevale	Nicolas Pissis Diana Knekna
1994	No competition	No competition	No competition	No competition	No competition
1995	Klaus Raffeiner	Maria Gr Italiano	Nicolas Pissis Antonis Lazzarou	Barbara Faiazza Maria Gr Italiano	Luiggi Izo Silvie Carnevalle
1996	Rashad Khakhan	Diana Knekna	Yassen Borissov Lupen Panov	Diana Knekna Elena Iasonos	Bo Wendel Nina Messman
1997	Todor Velkov	Svetlana Zilberman	Paz Ben-Svi Danny Shneiderman	Svetlana Zilberman Shirli Daniel	Leon Pogatch Svetlana Zilberman
1998	Konstantin Dobrev	Diana Knekna	Lars Nielsen Peter Jensen	Diana Koleva Raina Tchvetkova	Konstantin Dobrev Diana Koleva
1999	Theodoros Velkos	Petya Nedeltcheva	Theodoros Velkos Vassilios Valkos	Nina Messman Karin Knudsen	Peter Jensen Nina Messman
2000	Konstantin Dobrev	Margarita Mladenova	Luben Panov Constantin Dobrev	Diana Dimova Dobrinka Smilianova	Leon Pougatch Svetlana Zilberman
2001	Theodoros Velkos	Katarzyna Krasowska	Afshin Bozorgzadeh Ali Shahhosseini	Diana Knekna Maria Ioannou	Peter Jensen Maria Ioannou
2002	Georgi Petrov	Katarzyna Krasowska	Georgi Petrov Julian Christov	Diana Knekna Maria Ioannou	Julian Christov Diana Dimova
2003	Daniel Damgaard	Katarzyna Krasowska	Peter Hasbak Simon Mollyhus	Karina Sorensen Mette Melcher	Simon Mollyhus Karina Sorensen
2004	Petr Koukal	Filipa Lamy	Bruce Topping Mark Topping	Vania Lega Filipa Lamy	Nuno Santos Telma Santos
2005	Daniel Damgaard	Line Isberg	Daniel Damgaard Jesper Hovgaard	Line Isberg Mia Nielsen	Jesper Hovgaard Mia Nielsen
2006	Peter Mikkelsen	Anne Marie Pedersen	Mikkel Delbo Larsen Jacob Chemnitz	Weny Rahmawati Elodie Eymard	Svetoslav Stoyanov Elodie Eymard
2007	Chetan Anand	Kati Tolmoff	Christian Larsen Christian John Skovgaard	Jwala Gutta Shruti Kurian	Chetan Anand Jwala Gutta
2008	Kasper Ipsen	Camilla Overgaard	Magnus Ingi Helgason Helgi Johannesson	Maria Helsboel Anne Skelbaek	Peter Moerk Maria Helsboel
2009	Simon Maunoury	Spela Silvester	Christopher Bruun Jensen Morten T. Kronborg	Anastasia Chervyakova Natalia Perminova	Henry Tam Donna Haliday
2010	Viktor Axelsen	Carolina Marin	Didit Juang Indrianto Seiko Wahyu Kusdianto	Romina Gabdullina Evgeniya Kosetskaya	Niclas Nohr Lena Grebak
2011	Emil Holst	Lianne Tan	Theis Christiansen Niclas Nohr	Tatjana Bibik Anastasia Chervaykova	Niclas Nohr Joan Christiansen
2012	No competition	No competition	No competition	No competition	No competition
2013	Scott Evans	Linda Zechiri	Joe Morgan Nic Strange	Sarah Thomas Carissa Turner	Oliver Gwilt Sarah Thomas
