Rank	Rider	Team	Speed	Time
1	Charlie Collier	3½ hp Matchless	38.21mph	4:08.08.2
2	Jack Marshall	3½ hp Triumph	36.60mph	4:19.47.3
3	Frank Hulbert	3½ hp Triumph	35.50mph	4:27.49.4
4	R. M. Brice	3½ hp Brown	31.40mph	5:03.55.2
5	Martin Geiger	3½ hp NSU	30.60mph	5:10.26.0
6	J. C. Smyth	3½ hp Rex	29.40mph	5:23.40.3
7	R. W. Ayrton	3½ hp Coventry	29.10mph	5:30.26.0
8	F. W. Applebee	3½ hp Rex	27.40mph	5:46.31.0
ret	J. P. Le Grand	3hp GB	—	—
ret	F. Winter	4hp ROC	—	—
ret	Stanley Webb	3½ hp Triumph	—	—
ret	Tom Silver	3hp GB	—	—
ret	W. A. Jacobs	3½ hp Rex	—	—
ret	G. Horner	4hp JAP	—	—
ret	J. D. Hamilton	3½ hp NSU	—	—
ret	R. W. Duke	3½ hp Triumph	—	—
ret	Harry Collier	3½ hp Matchless	—	—
