Japanese Title	Romaji Title	TV Station	Episodes	Average Ratings
大奥～華の乱～	Oooku ~Hana no Ran~	Fuji TV	10	15.7%
1リットルの涙	Ichi Rittoru no Namida	Fuji TV	11	15.3%
危険なアネキ	Kiken na Aneki	Fuji TV	10	18.78%
鬼嫁日記	Oniyome Nikki	Fuji TV	11	15.35%
ブラザー☆ビート	BROTHER☆BEAT	TBS	11	13.5%
今夜ひとりのベッドで	Konya Hitori no Beddo de	TBS	10	6.6%
恋の時間	Koi no Jikan	TBS	10	10.3%
着信アリ	Chakushin Ari	TV Asahi	10	8.49%
熟年離婚	Jukunen Rikon	TV Asahi	9	19.18%
あいのうた	Ai no Uta	NTV	10	9.7%
野ブタ。をプロデュース	Nobuta wo Produce	NTV	10	16.89%
花より男子	Hana Yori Dango	TBS	9	19.6%
