Branding	Callsign	Ch. #	Station Type	Power kW (ERP)	Location (Transmitter Site)
ABS-CBN TV-30 La Union	DWTL-TV	TV-30	Relay Station	5kW	San Fernando, La Union
ABS-CBN TV-32 Dagupan (North Central Luzon)	DWEC-TV	TV-32	Originating	5kW (18.03kW ERP)	Dagupan
ABS-CBN TV-32 Nueva Ecija (North Central Luzon)	DWCI-TV	TV-32	Relay Station	1kW (29.94kW ERP)	Cabanatuan **
ABS-CBN TV-32 Tarlac (North Central Luzon)	DWTC-TV	TV-32	Relay Station	1kW (27.94kW ERP)	Tarlac **
ABS-CBN TV-22 Baler	DZBA-TV	TV-22	Relay Station	1kW (8.45kW ERP)	Baler, Aurora ****
ABS-CBN TV-46 Pampanga	DWIN-TV	TV-46	Originating	14.02kW	San Fernando, Pampanga **
ABS-CBN TV-34 Bulacan	DWBY-TV	TV-34	Relay Station	0.1kW (130.84 Watts ERP)	San Miguel, Bulacan **
ABS-CBN TV-40 Rizal	DWAM-TV	TV-40	Relay Station	1kW	Jala-Jala, Rizal
ABS-CBN TV-32 Tagaytay	DWTY-TV	TV-32	Relay Station	1kW	Tagaytay
ABS-CBN TV-38 Lipa	DWJA-TV	TV-38	Relay Station	0.1kW (0.876kW ERP)	Lipa ****
ABS-CBN TV-24 Lucena	DWEW-TV	TV-24	Relay Station	1kW (21.87kW ERP)	Lucena ****
ABS-CBN TV-46 San Pablo	DWLY-TV	TV-46	Relay Station	1kW (11.99kW ERP)	San Pablo, Laguna **
ABS-CBN TV-21 Calapan	DWDE-TV	TV-21	Relay Station	1kW	Calapan
ABS-CBN TV-21 Roxas	DYRC-TV	TV-21	Relay Station	1kW (21.09kW ERP)	Roxas ****
ABS-CBN TV-44 Antique	DYLY-TV	TV-44	Relay Station	1kW (21.09kW ERP)	San Jose, Antique ****
ABS-CBN TV-26 Sipalay	DYXS-TV	TV-26	Relay Station	1kW (21.09kW ERP)	Sipalay, Negros Occidental ****
ABS-CBN TV-42 Dipolog	DXMG-TV	TV-42	Relay Station	10kW (19.7kW ERP)	Dipolog ****
ABS-CBN TV-24 Mati	DXJT-TV	TV-24	Relay Station	1kW	Mati, Davao Oriental ***
