Season	Celebrity	Notability/Profession	Professional partner	Finish
1	Trista Sutter Category:Articles with hCards	The Bachelorette star	Louis van Amstel Category:Articles with hCards	6th
1	Evander Holyfield Category:Articles with hCards	Professional boxer	Edyta Śliwińska Category:Articles with hCards	5th
1	Rachel Hunter Category:Articles with hCards	Model, actress, television show host	Jonathan Roberts Category:Articles with hCards	4th
1	Joey McIntyre Category:Articles with hCards	New Kids on the Block member, actor	Ashly DelGrosso Category:Articles with hCards	3rd
1	John O'Hurley Category:Articles with hCards	Actor	Charlotte Jørgensen Category:Articles with hCards	2nd
1	Kelly Monaco Category:Articles with hCards	Model, actress, General Hospital star	Alec Mazo Category:Articles with hCards	1st
2	Kenny Mayne Category:Articles with hCards	ESPN sports anchorman	Andrea Hale Category:Articles with hCards	10th
2	Tatum O'Neal Category:Articles with hCards	Actress	Nick Kosovich Category:Articles with hCards	9th
2	Giselle Fernandez Category:Articles with hCards	Television journalist	Jonathan Roberts Category:Articles with hCards	8th
2	Master P Category:Articles with hCards	Rapper and entrepreneur	Ashly DelGrosso Category:Articles with hCards	7th
2	Tia Carrere Category:Articles with hCards	Model, actress	Maksim Chmerkovskiy Category:Articles with hCards	6th
2	George Hamilton Category:Articles with hCards	Actor	Edyta Śliwińska Category:Articles with hCards	5th
2	Lisa Rinna Category:Articles with hCards	Actress, television show host	Louis van Amstel Category:Articles with hCards	4th
2	Stacy Keibler Category:Articles with hCards	Actress, former WWE Diva	Tony Dovolani Category:Articles with hCards	3rd
2	Jerry Rice Category:Articles with hCards	Retired Hall of Fame NFL wide receiver	Anna Trebunskaya Category:Articles with hCards	2nd
2	Drew Lachey Category:Articles with hCards	98 Degrees member	Cheryl Burke Category:Articles with hCards	1st
3	Tucker Carlson Category:Articles with hCards	Political broadcaster	Elena Grinenko Category:Articles with hCards	11th
3	Shanna Moakler Category:Articles with hCards	Model, actress, former Miss USA	Jesse DeSoto Category:Articles with hCards	10th
3	Harry Hamlin Category:Articles with hCards	Actor	Ashly DelGrosso Category:Articles with hCards	9th
3	Vivica A. Fox Category:Articles with hCards	Actress	Nick Kosovich Category:Articles with hCards	8th
3	Willa Ford Category:Articles with hCards	Singer, actress	Maksim Chmerkovskiy Category:Articles with hCards	7th
3	Sara Evans Category:Articles with hCards	Country music singer	Tony Dovolani Category:Articles with hCards	6th
3	Jerry Springer Category:Articles with hCards	Television personality , talk show host	Kym Johnson Category:Articles with hCards	5th
3	Monique Coleman Category:Articles with hCards	Actress	Louis van Amstel Category:Articles with hCards	4th
3	Joey Lawrence Category:Articles with hCards	Actor, singer	Edyta Śliwińska Category:Articles with hCards	3rd
3	Mario Lopez Category:Articles with hCards	Actor, television show host	Karina Smirnoff Category:Articles with hCards	2nd
3	Emmitt Smith Category:Articles with hCards	Retired Hall of Fame NFL running back	Cheryl Burke Category:Articles with hCards	1st
4	Paulina Porizkova Category:Articles with hCards	Supermodel , actress	Alec Mazo Category:Articles with hCards	11th
4	Shandi Finnessey Category:Articles with hCards	Miss USA 2004, Lingo co-host	Brian Fortuna Category:Articles with hCards	10th
4	Leeza Gibbons Category:Articles with hCards	Television show host	Tony Dovolani Category:Articles with hCards	9th
4	Clyde Drexler Category:Articles with hCards	Former NBA shooting guard	Elena Grinenko Category:Articles with hCards	8th
4	Heather Mills Category:Articles with hCards	Charity campaigner	Jonathan Roberts Category:Articles with hCards	7th
4	John Ratzenberger Category:Articles with hCards	Actor, television show host	Edyta Śliwińska Category:Articles with hCards	6th
4	Billy Ray Cyrus Category:Articles with hCards	Country music singer, actor	Karina Smirnoff Category:Articles with hCards	5th
4	Ian Ziering Category:Articles with hCards	Actor	Cheryl Burke Category:Articles with hCards	4th
4	Laila Ali Category:Articles with hCards	Boxer , daughter of Muhammad Ali	Maksim Chmerkovskiy Category:Articles with hCards	3rd
4	Joey Fatone Category:Articles with hCards	'N Sync member, actor	Kym Johnson Category:Articles with hCards	2nd
4	Apolo Anton Ohno Category:Articles with hCards	Short track speed skating Olympian	Julianne Hough Category:Articles with hCards	1st
5	Josie Maran Category:Articles with hCards	Actress, model	Alec Mazo Category:Articles with hCards	12th
5	Albert Reed Category:Articles with hCards	Model	Anna Trebunskaya Category:Articles with hCards	11th
5	Wayne Newton Category:Articles with hCards	Las Vegas , Nevada entertainer	Cheryl Burke Category:Articles with hCards	10th
5	Floyd Mayweather Category:Articles with hCards	Professional boxer	Karina Smirnoff Category:Articles with hCards	9th
5	Mark Cuban Category:Articles with hCards	Entrepreneur	Kym Johnson Category:Articles with hCards	8th
5	Sabrina Bryan Category:Articles with hCards	The Cheetah Girls member	Mark Ballas Category:Articles with hCards	7th
5	Jane Seymour Category:Articles with hCards	Actress	Tony Dovolani Category:Articles with hCards	6th
5	Cameron Mathison Category:Articles with hCards	Actor, All My Children star	Edyta Śliwińska Category:Articles with hCards	5th
5	Jennie Garth Category:Articles with hCards	Actress	Derek Hough Category:Articles with hCards	4th
5	Marie Osmond Category:Articles with hCards	Singer, member of The Osmonds	Jonathan Roberts Category:Articles with hCards	3rd
5	Mel B Category:Articles with hCards	Spice Girls member	Maksim Chmerkovskiy Category:Articles with hCards	2nd
5	Hélio Castroneves Category:Articles with hCards	Indy 500 champion racer	Julianne Hough Category:Articles with hCards	1st
6	Penn Jillette Category:Articles with hCards	Magician	Kym Johnson Category:Articles with hCards	12th
6	Monica Seles Category:Articles with hCards	Grand Slam tennis champion	Jonathan Roberts Category:Articles with hCards	11th
6	Steve Guttenberg Category:Articles with hCards	Actor	Anna Trebunskaya Category:Articles with hCards	10th
6	Adam Carolla Category:Articles with hCards	Radio/television show host, comedian	Julianne Hough Category:Articles with hCards	9th
6	Priscilla Presley Category:Articles with hCards	Actress, ex-wife of Elvis Presley	Louis van Amstel Category:Articles with hCards	8th
6	Marlee Matlin Category:Articles with hCards	Actress	Fabian Sanchez Category:Articles with hCards	7th
6	Shannon Elizabeth Category:Articles with hCards	Actress, model	Derek Hough Category:Articles with hCards	6th
6	Mario Category:Articles with hCards	R&B singer	Karina Smirnoff Category:Articles with hCards	5th
6	Jason Taylor Category:Articles with hCards	Retired NFL linebacker	Edyta Śliwińska Category:Articles with hCards	2nd
6	Kristi Yamaguchi Category:Articles with hCards	Olympic champion figure skater	Mark Ballas Category:Articles with hCards	1st
7	Jeffrey Ross Category:Articles with hCards	Comedian	Edyta Śliwińska Category:Articles with hCards	13th
7	Ted McGinley Category:Articles with hCards	Actor	Inna Brayer Category:Articles with hCards	12th
7	Kim Kardashian Category:Articles with hCards	Reality television star, model	Mark Ballas Category:Articles with hCards	11th
7	Misty May-Treanor Category:Articles with hCards	Olympic champion beach volleyball player	Maksim Chmerkovskiy Category:Articles with hCards	10th
7	Rocco DiSpirito Category:Articles with hCards	Celebrity chef	Karina Smirnoff Category:Articles with hCards	9th
7	Toni Braxton Category:Articles with hCards	Singer	Alec Mazo Category:Articles with hCards	8th
7	Cloris Leachman Category:Articles with hCards	Actress	Corky Ballas Category:Articles with hCards	7th
7	Susan Lucci Category:Articles with hCards	Actress, All My Children star	Tony Dovolani Category:Articles with hCards	6th
7	Maurice Greene Category:Articles with hCards	Olympic champion sprinter	Cheryl Burke Category:Articles with hCards	5th
7	Cody Linley Category:Articles with hCards	Actor, Disney Channel star	Julianne Hough Category:Articles with hCards	4th
7	Lance Bass Category:Articles with hCards	Former 'N Sync member	Lacey Schwimmer Category:Articles with hCards	3rd
7	Warren Sapp Category:Articles with hCards	Retired NFL defensive tackle	Kym Johnson Category:Articles with hCards	2nd
7	Brooke Burke Category:Articles with hCards	Model, television show host	Derek Hough Category:Articles with hCards	1st
8	Belinda Carlisle Category:Articles with hCards	The Go-Go's member	Jonathan Roberts Category:Articles with hCards	13th
8	Denise Richards Category:Articles with hCards	Actress	Maksim Chmerkovskiy Category:Articles with hCards	12th
8	Holly Madison Category:Articles with hCards	Reality television star, Playboy model	Dmitry Chaplin Category:Articles with hCards	11th
8	Steve Wozniak Category:Articles with hCards	Apple Inc. co-founder	Karina Smirnoff Category:Articles with hCards	10th
8	David Alan Grier Category:Articles with hCards	Actor, comedian	Kym Johnson Category:Articles with hCards	9th
