Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	7-2-4	Alexandre Franca Nogueira	Decision (unanimous)	Shooto 2005 - 3/11 in Korakuen Hall	3	5:00	Tokyo Korakuen Hall
Draw	7-1-4	Hiroyuki Takaya	Draw	Shooto 2004 - 1/24 in Korakuen Hall	3	5:00	Tokyo , Japan
Win	7-1-3	Hiroyuki Abe	Submission (armbar)	Shooto - GIG Central 4	2	4:59	Nagoya , Japan
Win	6-1-3	Naoya Uematsu	Decision (unanimous)	Shooto 2003 - 1/24 in Korakuen Hall	3	5:00	Tokyo , Japan
Win	5-1-3	Ryan Bow	Decision (majority)	DEEP - 6th Impact	3	5:00	Tokyo , Japan
Win	4-1-3	Takehiro Murahama	Submission (armbar)	DEEP - 4th Impact	1	2:13	Nagoya , Japan
Win	3-1-3	Stephen Palling	Submission (armbar)	World Fighting Alliance 1	1	1:29	Nevada , United States
Win	2-1-3	Takehiro Murahama	Submission (armbar)	Deep - 2nd Impact	1	4:29	Yokohama , Japan
Loss	1-1-3	Jens Pulver	Decision	UFC 26	3	5:00	Iowa , United States
Draw	1-0-3	Hisao Ikeda	Draw	VTJ 1999 - Vale Tudo Japan 1999	3	8:00	Tokyo , Japan
Draw	1-0-2	Noboru Asahi	Draw	VTJ 1998 - Vale Tudo Japan 1998	3	8:00	Tokyo , Japan
Draw	1-0-1	Uchu Tatsumi	Draw	VTJ 1997 - Vale Tudo Japan 1997	3	8:00	Tokyo , Japan
Win	1-0	Abdelaziz Cherigui	Submission (armbar)	EF 3 - Extreme Fighting 3	1	4:02	Oklahoma , United States
