Round	Race	Circuit	Date	Pole Position	Fastest Lap	Winning driver	Winning team
1	1	Wakefield Park	6 March	Mitch Evans	Ben Crighton	Mitch Evans	Team BRM
1	2	Wakefield Park	7 March	Mitch Evans	Ben Crighton	Mitch Evans	Team BRM
1	3	Wakefield Park	7 March	Mitch Evans	Mitch Evans	Mitch Evans	Team BRM
2	4	Symmons Plains Raceway	10 April	Ben Barker	Kristian Lindbom	Tom Tweedie	Team Tom
2	5	Symmons Plains Raceway	11 April	Ben Barker	Kristian Lindbom	Andrew Waite	Team BRM
2	6	Symmons Plains Raceway	11 April	Ben Barker	Tom Tweedie	Tom Tweedie	Team Tom
3	7	Phillip Island	1 May	Mitch Evans	Ben Barker	Mitch Evans	Team BRM
3	8	Phillip Island	2 May	Mitch Evans	Ben Barker	Mitch Evans	Team BRM
3	9	Phillip Island	2 May	Mitch Evans	Mitch Evans	Mitch Evans	Team BRM
4	10	Mallala Motor Sport Park	29 May	Mitch Evans	Ben Barker	Ben Barker	Team BRM
4	11	Mallala Motor Sport Park	30 May	Mitch Evans	Ben Barker	Ben Barker	Team BRM
4	12	Mallala Motor Sport Park	30 May	Mitch Evans	Ben Barker	Ben Barker	Team BRM
5	13	Morgan Park Raceway	14 August	Mitch Evans	Ben Barker	Ben Barker	Team BRM
5	14	Morgan Park Raceway	15 August	Mitch Evans	Mitch Evans	Tom Tweedie	Team Tom
5	15	Morgan Park Raceway	15 August	Mitch Evans	Mitch Evans	Ben Barker	Team BRM
6	16	Eastern Creek Raceway	11 September	Mitch Evans	Ben Barker	Mitch Evans	Team BRM
6	17	Eastern Creek Raceway	12 September	Mitch Evans	Ben Barker	Mitch Evans	Team BRM
6	18	Eastern Creek Raceway	12 September	Mitch Evans	Ben Barker	Ben Barker	Team BRM
7	19	Sandown Raceway	23 October	Tim Macrow	Mitch Evans	Tim Macrow	PHR Scuderia
7	20	Sandown Raceway	24 October	Tim Macrow	Red flag: Race cancelled	Red flag: Race cancelled	Red flag: Race cancelled
