Week	Date	Opponent	Result	Attendance
1	September 7, 2003	Arizona Cardinals	W 42-24	60,691
2	September 14, 2003	at Green Bay Packers	L 31-6	70,244
3	September 21, 2003	Minnesota Vikings	L 23-13	60,865
4	September 28, 2003	at Denver Broncos	L 20-16	75,719
5	October 5, 2003	at San Francisco 49ers	L 24-17	67,365
6	Bye	Bye	Bye	Bye
7	October 19, 2003	Dallas Cowboys	L 38-7	61,160
8	October 26, 2003	at Chicago Bears	L 24-16	61,428
9	November 2, 2003	Oakland Raiders	W 23-13	61,561
10	November 9, 2003	Chicago Bears	W 12-10	61,492
11	November 16, 2003	at Seattle Seahawks	L 35-14	65,865
12	November 23, 2003	at Minnesota Vikings	L 24-14	63,946
13	November 27, 2003	Green Bay Packers	W 22-14	62,123
14	December 7, 2003	San Diego Chargers	L 14-7	61,544
15	December 14, 2003	at Kansas City Chiefs	L 45-17	77,922
16	December 21, 2003	at Carolina Panthers	L 20-14	72,835
17	December 28, 2003	St. Louis Rams	W 30-20	61,006
