Week	Date	Opponent	Result	Attendance
1	September 4, 1988	San Diego Chargers	W 24–13	39,029
2	September 11, 1988	at Houston Oilers	L 38–35	46,050
3	September 18, 1988	Los Angeles Rams	L 22–17	84,870
4	September 26, 1988	at Denver Broncos	W 30–27	75,964
5	October 2, 1988	Cincinnati Bengals	L 45–21	42,594
6	October 9, 1988	Miami Dolphins	L 24–14	50,751
7	October 16, 1988	at Kansas City Chiefs	W 27–17	77,078
8	October 23, 1988	at New Orleans Saints	L 20–6	66,249
9	October 30, 1988	Kansas City Chiefs	W 17–10	36,103
10	November 6, 1988	at San Diego Chargers	W 13–3	55,134
11	November 13, 1988	at San Francisco 49ers	W 9–3	54,448
12	November 20, 1988	Atlanta Falcons	L 12–6	40,967
13	November 28, 1988	at Seattle Seahawks	L 35–27	62,641
14	December 4, 1988	Denver Broncos	W 21–20	65,561
15	December 11, 1988	at Buffalo Bills	L 37–21	77,348
16	December 18, 1988	Seattle Seahawks	L 43–37	61,127
