Driver	Constructor	Laps	Time/Retired	Grid
Jim Clark	Lotus - Climax	80	2:03:59.1	2
Jackie Stewart	BRM	80	+8.0 secs	6
Dan Gurney	Brabham - Climax	80	+13.0 secs	5
Graham Hill	BRM	80	+45.1 secs	1
Denny Hulme	Brabham - Climax	79	+1 Lap	7
Richie Ginther	Honda	79	+1 Lap	3
John Surtees	Ferrari	79	+1 Lap	4
Mike Spence	Lotus - Climax	79	+1 Lap	8
Lorenzo Bandini	Ferrari	79	+1 Lap	12
Innes Ireland	Lotus - BRM	78	+2 Laps	13
Frank Gardner	Brabham - BRM	77	+3 Laps	11
Richard Attwood	Lotus - BRM	77	+3 Laps	17
Jo Siffert	Brabham - BRM	55	+25 Laps	10
Jochen Rindt	Cooper - Climax	48	Oil Pressure	14
Bruce McLaren	Cooper - Climax	36	Differential	9
Jo Bonnier	Brabham - Climax	16	Oil Leak	15
Bob Anderson	Brabham - Climax	11	Engine	16
