Week	Date	Opponent	Result	Attendance
1	September 17, 1961	Cleveland Browns	W 27–20	60,671
2	September 24, 1961	Washington Redskins	W 14–7	50,108
3	October 1, 1961	St. Louis Cardinals	L 30–27	59,399
4	October 8, 1961	Pittsburgh Steelers	W 21–16	60,671
5	October 15, 1961	at St. Louis Cardinals	W 20–7	20,262
6	October 22, 1961	at Dallas Cowboys	W 43–7	25,000
7	October 29, 1961	at Washington Redskins	W 27–24	31,066
8	November 5, 1961	Chicago Bears	W 16–14	60,671
9	November 12, 1961	at New York Giants	L 38–21	62,800
10	November 19, 1961	at Cleveland Browns	L 45–24	68,399
11	November 26, 1961	Dallas Cowboys	W 35–13	60,127
12	December 3, 1961	at Pittsburgh Steelers	W 35–24	21,653
13	December 10, 1961	New York Giants	L 28–24	60,671
14	December 17, 1961	at Detroit Lions	W 27–24	44,231
