Tower	Year	Country	Town	Pinnacle height
Transmission Tower Mühlacker	1934	Germany	Mühlacker	190 m
Transmitter Berlin-Tegel	1933	Germany	Berlin	165 m
Sendeturm Ismaning	1932	Germany	Ismaning	163 m
Sendeturm Langenberg	1934	Germany	Velbert-Langenberg	160 m
Sendeturm Wiederau	1935	Germany	Wiederau	150 m
Sendeturm Hamburg-Billstedt	1934	Germany	Hamburg	145 m
Transmitter Żórawina	1932	Germany	Żórawina, Poland	140 m
Transmitter Nuremberg-Kleinreuth	1935	Germany	Nuremberg	124 m
Madona Radio Towers	1932	Latvia	Madona	116 m
Transmitter Heilsberg	1935	Germany	Lidzbark Warmiński, Poland	115 m
Freiburg-Lehen transmitter	1933	Germany	Freiburg	107 m
Heiligenstock transmitter	1934	Germany	Frankfurt/Main	107 m
Transmitter Koblenz	1934	Germany	Koblenz	107 m
Transmitter Trier	1935	Germany	Trier	107 m
Transmitter Heilsberg	1930	Germany	Lidzbark Warmiński, Poland	102 m
Reichenbach transmitter	1937	Germany	Reichenbach/Oberlausitz	100 m
Golm transmitter	1948	Germany	Golm	100 m
Stettin Radio Tower	1934	Poland	Szczecin	93 m
Utbremen Radio Tower	1933	Germany	Bremen	90 m
Flensburg Radio Tower	1928	Germany	Flensburg	90 m
Pillar of Mittersill goods aerial tramway	194?	Austria	Mittersill	80 m
Stadelheim Transmitter	1926	Germany	Munich-Stadelheim	75 m
Chain Home Reception Towers	1939	UK	multiple locations	73.15 m
Wood Transmitting Tower Zeesen	1931	Germany	Zeesen	70 m
Reception Tower Utlandshörn	1935	Germany	Utlandshörn	65 m
Towers of South Wellfleet Marconi Wireless Station	1902	USA	South Wellfleet, Massachusetts	64 m
Towers of Königsberg Air Traffic Control Centre	1926	Russia	Kaliningrad	63 m
Palatine Transmitter	1926	Germany	Kaiserslautern	60 m
Huizen transmitter	1937	Netherlands	Huizen	60 m
Wardenclyffe Tower	1899	USA	Shoreham	57 m
Wiesbaden Bismarck Tower	1910	Germany	Wiesbaden	50 m
Sahlenburg Marine Radio Station	1937	Germany	Cuxhaven	50 m
Jelenia Góra transmitter	1957	Poland	Jelenia Góra	47 m
Towers of triangle antenna Langenberg	1935	Germany	Velbert-Langenberg	45 m
Kempten-Engelshalde Transmitter	1951	Germany	Kempten	40 m
Heusweiler Mast 1	1935	Germany	Heusweiler	35 m
Heusweiler Mast 2	1935	Germany	Heusweiler	31 m
