Position	Name	Affiliation	Total	Percentage
1	SMITH, D. Orlando	NDP	4300	14.72%
2	SKELTON, Ronnie W.	NDP	4165	14.26%
3	PARSONS, Eilieene Lucia	NDP	3515	12.03%
4	WATTLEY, Paul P.	NDP	3315	11.35%
5	GEORGE, Reeial	VIP	3274	11.21%
6	PENN-O'NEAL, Irene	VIP	3157	10.81%
7	HARRIGAN, Elvis	VIP	3128	10.71%
8	PICKERING, Roy	VIP	2766	9.47%
9	MADURO, Conrad	IND	590	2.02%
10	CLINE, John I.	IND	450	1.54%
11	KETTLE, Henry Einstein	IND	220	0.75%
12	DE CASTRO, Richard Courtney	IND	172	0.59%
13	BARONVILLE, Eilieene E.	IND	142	0.49%
