Race	Date	Location	Pole Position	Fastest Lap	Race Winner	Constructor	Report
Argentine Grand Prix	13 January	Buenos Aires	Alan Jones	Alan Jones	Alan Jones	Williams - Ford	Report
Brazilian Grand Prix	27 January	Interlagos	Jean-Pierre Jabouille	René Arnoux	René Arnoux	Renault	Report
South African Grand Prix	1 March	Kyalami	Jean-Pierre Jabouille	René Arnoux	René Arnoux	Renault	Report
United States Grand Prix West	30 March	Long Beach	Nelson Piquet	Nelson Piquet	Nelson Piquet	Brabham - Ford	Report
Belgian Grand Prix	4 May	Zolder	Alan Jones	Jacques Laffite	Didier Pironi	Ligier - Ford	Report
Monaco Grand Prix	18 May	Monaco	Didier Pironi	Carlos Reutemann	Carlos Reutemann	Williams - Ford	Report
French Grand Prix	29 June	Paul Ricard	Jacques Laffite	Alan Jones	Alan Jones	Williams - Ford	Report
British Grand Prix	13 July	Brands Hatch	Didier Pironi	Didier Pironi	Alan Jones	Williams - Ford	Report
German Grand Prix	10 August	Hockenheimring	Alan Jones	Alan Jones	Jacques Laffite	Ligier - Ford	Report
Austrian Grand Prix	17 August	Österreichring	René Arnoux	René Arnoux	Jean-Pierre Jabouille	Renault	Report
Dutch Grand Prix	31 August	Zandvoort	René Arnoux	René Arnoux	Nelson Piquet	Brabham - Ford	Report
Italian Grand Prix	14 September	Imola	René Arnoux	Alan Jones	Nelson Piquet	Brabham - Ford	Report
Canadian Grand Prix	28 September	Île Notre-Dame	Nelson Piquet	Didier Pironi	Alan Jones	Williams - Ford	Report
United States Grand Prix	5 October	Watkins Glen	Bruno Giacomelli	Alan Jones	Alan Jones	Williams - Ford	Report
