Name	Serie A	Champions League	Coppa Italia	Total
Alessandro Del Piero	13	6	2	21
Amauri	12	2	0	14
Vincenzo Iaquinta	12	2	0	14
Pavel Nedvěd	7	0	0	7
Giorgio Chiellini	4	1	0	5
Claudio Marchisio	3	0	0	3
Sebastian Giovinco	2	0	1	3
Zdeněk Grygera	2	1	0	3
Marco Marchionni	1	0	2	3
Olof Mellberg	2	0	0	2
Cristiano Zanetti	2	0	0	2
Mauro Camoranesi	1	1	0	2
Mohamed Sissoko	2	0	0	2
Nicola Legrottaglie	1	1	0	2
Hasan Salihamidžić	1	0	0	1
David Trézéguet	1	0	0	1
Christian Poulsen	1	0	0	1
Own Goals	2	0	0	2
TOTALS	69	14	5	88
