Date	Cover model	Centerfold model	Interview subject	20 Questions	Pictorials
1-06	Lisa Guerrero	Athena Lundberg	Mark Cuban	Kate Beckinsale	Lisa Guerrero
2-06	Adrianne Curry	Cassandra Lynn	Al Franken	Hugh Laurie	Adrianne Curry, Girls of Tuscany
3-06	Jessica Alba	Monica Leigh	Kanye West	Franz Ferdinand	Willa Ford
4-06	Candice Michelle	Holley Ann Dorrough	Keanu Reeves	Craig Ferguson	Candice Michelle, Cyber Girls in print
5-06	Alison Waite	Alison Waite	Ozzie Guillén	Rebecca Romijn	Girls of the top 10 party schools, Rachel Sterling
6-06	Kara Monaco	Stephanie Larimore	Shepard Smith	Jason Lee	PMOY - Kara Monaco, Girls of MySpace
7-06	Vida Guerra	Sara Jean Underwood	Jerry Bruckheimer	Dana White	Vida Guerra
8-06	Monica Leigh	Nicole Voss	Denis Leary	Luke Wilson	Girls of Orange County , Stacey Dash
10-06	Tamara Witmer	Jordan Monroe	Ludacris	Johnny Knoxville	Girls of the Big 12 , Christine Dolce
11-06	Mercedes McNab	Sarah Elizabeth	Arianna Huffington	Tenacious D	Mercedes McNab, Girls of Hawaiian Tropic
