Name	Position	League Apps	League Goals	FA Cup Apps	FA Cup Goals	League Cup Apps	League Cup Goals	Total Apps	Total Goals
Simon Baldry	MF	3 (11)	0	0	0	0 (1)	0	3 (12)	0
Andy Booth	FW	43	16	4	2	4	3	51	21
Kenny Brown	DF	5	0	0	0	0	0	5	0
Darren Bullock	MF	42	6	4	1	4	1	50	8
Simon Collins	DF	18 (12)	3	1 (2)	0	4	1	23 (14)	4
Tom Cowan	DF	43	2	4	1	4	0	51	3
Gary Crosby	MF	0 (1)	0	0	0	1	0	1 (1)	0
Paul Dalton	MF	29	5	3 (1)	0	4	1	36 (1)	6
Iain Dunn	FW	3 (11)	0	1 (1)	0	1 (2)	0	5 (14)	0
Lee Duxbury	MF	3	0	0	0	1	0	4	0
Jon Dyson	DF	15 (2)	0	0	0	2	0	17 (2)	0
Rob Edwards	MF	13	7	0	0	0	0	13	7
Steve Francis	GK	43	0	4	0	3	0	50	0
Kevin Gray	DF	38	0	4	0	1	0	43	0
Steve Jenkins	DF	31	1	4	0	0	0	35	1
Ronnie Jepson	FW	40 (3)	12	2	2	3	0	45 (3)	14
Richard Logan	MF	2	0	0	0	0	0	2	0
Lee Makel	MF	33	2	4	0	0	0	37	2
Tony Norman	GK	3	0	0	0	1	0	4	0
Paul Reid	MF	8 (5)	0	2	0	2	0	12 (5)	0
Rodney Rowe	FW	6 (8)	1	3 (1)	1	0 (1)	0	9 (10)	2
Pat Scully	DF	25	1	0	0	3	0	28	1
Lee Sinnott	DF	32	0	4	0	4	0	40	0
Ben Thornley	MF	12	2	0	0	0	0	12	2
Simon Trevitt	DF	4	0	0	0	2	0	6	0
Andy Turner	MF	2 (3)	1	0	0	0	0	2 (3)	1
Mark Ward	FW	7 (1)	0	0	0	0	0	7 (1)	0
Jon Whitney	DF	3 (1)	0	0	0	0 (1)	0	3 (2)	0
