Week	Date	Opponent	Result	Attendance
1	September 21, 1975	at Green Bay Packers	W 30-16	52,613
2	September 28, 1975	at Atlanta Falcons	W 17-14	45,218
3	October 6, 1975	Dallas Cowboys	L 36-10	79,384
4	October 12, 1975	Chicago Bears	W 27-7	74,032
5	October 19, 1975	at Minnesota Vikings	L 25-19	47,872
6	October 26, 1975	at Houston Oilers	L 24-8	46,904
7	November 2, 1975	at San Francisco 49ers	W 28-17	43,209
8	November 9, 1975	Cleveland Browns	W 21-10	75,283
9	November 16, 1975	Green Bay Packers	W 13-10	76,946
10	November 23, 1975	at Kansas City Chiefs	L 24-21 OT	55,161
11	November 27, 1975	Los Angeles Rams	L 20-0	69,552
12	December 7, 1975	at Chicago Bears	L 25-21	37,772
13	December 14, 1975	Minnesota Vikings	W 17-10	73,130
14	December 21, 1975	St. Louis Cardinals	L 24-13	64,656
