Date	Location	Lineup	Assist/pass	Score	Result	Competition
2006-10-01	Carson CA	on 46' ( off Wagner )	Abby Wambach	8-0	10-0	Friendly
2007-03-07	Silves	90. Start	Stephanie Cox	2-1	2-1	Algarve Cup
2007-03-09	Ferreiras	on 46' ( off Wagner )	unassisted	1-0	1-0	Algarve Cup
2007-03-12	Santo Antonio	90. Start	Stephanie Cox	2-0	3-2	Algarve Cup
2007-03-14	Santo Antonio	off 83' ( on Wagner )	unassisted	2-0	2-0	Algarve Cup – final
2007-07-14	E Hartford CT	off 74' ( on Hucles )	Kristine Lilly	1-0	1-0	Friendly
2007-08-12	Chicago	on 29' ( off O'Reilly )	Shannon Boxx	3-0	6-1	Friendly
2007-08-12	Chicago	on 29' ( off O'Reilly )	Kristine Lilly	5-0	6-1	Friendly
2007-10-13	St. Louis	on 81' ( off Wagner )	unassisted	5-1	5-1	Friendly
2007-10-17	Portland OR	on 78' ( off Tarpley )	Cat Whitehill	4-0	4-0	Friendly
2008-03-05	Albufeira	90. Start	Natasha Kai	4-0	4-0	Algarve Cup – group stage
2008-04-04	Ciudad Juárez	off 46' ( on Heath )	Abby Wambach	1-0	6-0	CONCACAF Olympic Qualifying – group stage
2008-04-13	Ciudad Juárez	121. Start	unassisted	1-0	1-1 (pso 6-5)	CONCACAF Olympic Qualifying – final
2008-04-27	Cary NC	90. Start	unassisted	3-1	3-1	Friendly
2008-05-10	Washington DC	90. Start	Abby Wambach	4-0	6-0	Friendly
2008-07-02	Fredrikstad	90. Start	Natasha Kai	2-0	4-0	Friendly
2008-07-05	Skellefteå	90. Start	Lindsay Tarpley	1-0	1-0	Friendly
2008-08-09	Qinhuangdao	90. Start	Stephanie Cox	1-0	1-0	Olympics – group stage
2008-08-21	Beijing	90. Start	Amy Rodriguez	1-0	1-0	Olympics – gold medal match
2010-03-03	Faro	90. Start	unassisted	1-0	3-2	Algarve Cup – final
2010-10-30	Cancun	90. Start	penalty	8-0	9-0	CONCACAF World Cup Qualifying – group stage
2010-11-05	Cancun	90. Start	unassisted	1-1	1-2	CONCACAF World Cup Qualifying – semifinal
2011-01-21	Chongqing	off 46' ( on Lindsey )	Lauren Cheney	1-0	1-2	Four Nations Tournament
2011-01-25	Chongqing	90. Start	Tobin Heath	1-0	2-0	Four Nations Tournament
2011-03-04	Santo Antonio	off 71' ( on Lindsey )	Megan Rapinoe	2-0	2-0	Algarve Cup – group stage
2011-03-07	Quarteira	90. Start	Tobin Heath	2-0	4-0	Algarve Cup – group stage
2011-03-09	Faro	90. Start	Amy Rodriguez	1-0	4-2	Algarve Cup – final
2011-07-02	Sinsheim	90. Start	Stephanie Cox	3-0	3-0	FIFA Women’s World Cup – group stage
2012-01-20	Vancouver	90. Start	Abby Wambach	2-0	14-0	CONCACAF Olympic Qualifying – group stage
2012-01-22	Vancouver	90. Start	Kelley O'Hara	5-0	13-0	CONCACAF Olympic Qualifying – group stage
2012-01-24	Vancouver	90. Start	Rachel Buehler	1-0	4-0	CONCACAF Olympic Qualifying – group stage
2012-01-24	Vancouver	90. Start	Lauren Cheney	3-0	4-0	CONCACAF Olympic Qualifying – group stage
2012-01-24	Vancouver	90. Start	Rachel Buehler	4-0	4-0	CONCACAF Olympic Qualifying – group stage
2012-01-27	Vancouver	90. Start	Abby Wambach	2-0	3-0	CONCACAF Olympic Qualifying – Semifinal
2012-02-29	Lagos	90. Start	Lauren Cheney	3-0	5-0	Algarve Cup – group stage
2012-04-03	Chiba	off 62' ( on Heath )	Rachel Buehler	1-0	3-0	Kirin Challenge Cup
2012-07-25	Glasgow	on 17' ( off Boxx )	Megan Rapinoe	3-2	4-2	Olympics – group stage
2012-07-28	Glasgow	90. Start	Megan Rapinoe	3-0	3-0	Olympics – group stage
2012-08-09	London	90. Start	Alex Morgan	1-0	2-1	Olympics – gold medal match
2012-08-09	London	90. Start	Megan Rapinoe	2-0	2-1	Olympics – gold medal match
2012-09-01	Rochester NY	90. Start	unassisted	7-0	8-0	Friendly
2012-12-08	Detroit	90. Start	Tobin Heath	1-0	2-0	Friendly
2012-12-08	Houston	90. Start	Megan Rapinoe	2-0	4-0	Friendly
2013-06-15	Foxborough MA	off 67' ( on Averbuch )	Heather O'Reilly	3-1	4-1	Friendly
2013-10-20	San Antonio TX	90. Start	unassisted	2-0	4-0	Friendly
2013-10-27	San Francisco CA	Start	unassisted	2-0	4-1	Friendly
Match Reports	Match Reports	Match Reports	Match Reports	Match Reports	Match Reports	Match Reports
