Date	Opponent#	Rank #	Site	Result	Attendance
September 30	Texas Christian	3	Ohio Stadium • Columbus, OH	T7-7	82,878
October 7	UCLA	8	Ohio Stadium • Columbus, OH	W13-3	82,992
October 14	Illinois	7	Ohio Stadium • Columbus, OH	W44-0	82,374
October 21	at Northwestern	7	Dyche Stadium • Evanston, IL	W10-0	43,259
October 28	at Wisconsin	6	Camp Randall Stadium • Madison, WI	W30-21	58,411
November 4	9 Iowa	5	Ohio Stadium • Columbus, OH	W29-13	83,795
November 11	at Indiana	3	Memorial Stadium • Bloomington, IN	W16-7	27,108
November 18	Oregon	3	Ohio Stadium • Columbus, OH	W22-12	82,073
November 25	at Michigan	2	Michigan Stadium • Ann Arbor, MI	W50-20	80,444
*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .	*Non-conference game. #Rankings from AP Poll .
