Name	League	FA Cup	League Cup	Other	Total
Shaun Barker Category:Articles with hCards	45	5	1	4	55
Ian Evatt Category:Articles with hCards	44	5	1	4	54
Keigan Parker	45	4	1	4	54
Michael Jackson Category:Articles with hCards	43	5	1	3	52
Wes Hoolahan Category:Articles with hCards	42	3	1	3	49
Andy Morrell Category:Articles with hCards	40	4	1	3	48
Keith Southern	39	5	1	3	48
David Fox Category:Articles with hCards	37	5	1	2	45
Scott Vernon Category:Articles with hCards	38	4	1	1	44
Adrian Forbes Category:Articles with hCards	34	5	0	4	43
Rhys Evans Category:Articles with hCards	32	5	1	1	39
Claus Bech Jørgensen	31	4	0	4	39
Simon Gillett Category:Articles with hCards	31	0	0	3	34
Ben Burgess Category:Articles with hCards	27	3	0	2	32
Danny Coid Category:Articles with hCards	18	0	1	0	19
Kaspars Gorkšs	10	3	0	0	13
Paul Tierney Category:Articles with hCards	10	2	1	0	13
Robbie Williams Category:Articles with hCards	9	0	0	3	12
Paul Rachubka Category:Articles with hCards	8	0	0	3	11
Marcus Bean Category:Articles with hCards	6	2	1	1	10
Carl Dickinson Category:Articles with hCards	7	2	0	1	10
Marc Joseph Category:Articles with hCards	8	0	0	1	9
Andy Wilkinson	7	0	0	0	7
Rory Prendergast Category:Articles with hCards	5	0	1	0	6
Chris Brandon	5	0	0	0	5
Joe Hart Category:Articles with hCards	5	0	0	0	5
Danny Graham Category:Articles with hCards	4	0	0	0	4
Matthew Blinkhorn Category:Articles with hCards	2	0	0	1	3
Gareth Farrelly Category:Articles with hCards	1	1	0	0	2
Vincent Fernandez Category:Articles with hCards	1	1	0	0	2
Jamie Burns Category:Articles with hCards	0	0	0	0	0
Kyle Clancy	0	0	0	0	0
Ciaran Donnelly	0	0	0	1	1
Lewis Edge Category:Articles with hCards	1	0	0	0	1
Lee Jones Category:Articles with hCards	0	0	0	0	0
Matty Kay	0	0	0	0	0
