Week	Date	Opponent	Result	Attendance
1	September 7, 1980	at Seattle Seahawks	W 34-13	62,042
2	September 14, 1980	Oakland Raiders	W 30-24	51,943
3	September 21, 1980	at Denver Broncos	W 30-13	74,970
4	September 28, 1980	at Kansas City Chiefs	W 24-7	45,161
5	October 5, 1980	Buffalo Bills	L 26-24	51,982
6	October 12, 1980	at Oakland Raiders	L 38-24	44,826
7	October 19, 1980	New York Giants	W 44-7	50,397
8	October 26, 1980	at Dallas Cowboys	L 42-31	60,639
9	November 2, 1980	at Cincinnati Bengals	W 31-14	46,406
10	November 9, 1980	Denver Broncos	L 20-13	51,435
11	November 16, 1980	Kansas City Chiefs	W 20-7	50,248
12	November 20, 1980	at Miami Dolphins	W 27-24	63,013
13	November 30, 1980	Philadelphia Eagles	W 22-21	51,567
14	December 7, 1980	at Washington Redskins	L 40-17	48,556
15	December 13, 1980	Seattle Seahawks	W 21-14	49,980
16	December 22, 1980	Pittsburgh Steelers	W 26-17	51,785
