Team	Stadium	Home Games	Average Attendance	Total Attendance	Capacity Percentage
Dallas Cowboys	Cowboys Stadium	8	87047	696377	108.8%
Washington Redskins	FedExField	8	83172	665380	90.7%
New York Giants	New Meadowlands Stadium	8	79019	632156	95.8%
New York Jets	New Meadowlands Stadium	8	78596	628768	95.3%
Denver Broncos	Invesco Field at Mile High	8	74908	599264	98.4%
Carolina Panthers	Bank of America Stadium	8	72620	580965	98.4%
Baltimore Ravens	M&T Bank Stadium	8	71227	569817	100.3%
Houston Texans	Reliant Stadium	8	71080	568643	100.0%
Green Bay Packers	Lambeau Field	8	70795	566362	97.1%
New Orleans Saints	Louisiana Superdome	8	70038	560304	96.0%
Philadelphia Eagles	Lincoln Financial Field	8	69144	553152	102.3%
Tennessee Titans	LP Field	8	69143	553144	100.0%
New England Patriots	Gillette Stadium	8	68756	550048	100.0%
Atlanta Falcons	Georgia Dome	8	67850	542800	95.2%
Miami Dolphins	Sun Life Stadium	8	67744	541959	90.1%
Kansas City Chiefs	Arrowhead Stadium	8	67672	541380	88.2%
Seattle Seahawks	Qwest Field	8	66992	539141	100.0%
Indianapolis Colts	Lucas Oil Stadium	8	66975	535942	106.3%
Cleveland Browns	Cleveland Browns Stadium	8	66116	528933	90.3%
San Diego Chargers	Qualcomm Stadium	8	65530	524241	91.9%
Pittsburgh Steelers	Heinz Field	8	63083	504669	97.1%
Jacksonville Jaguars	EverBank Field	8	63032	504262	93.8%
Arizona Cardinals	University of Phoenix Stadium	8	62774	502197	99.0%
Chicago Bears	Soldier Field	8	62195	497561	101.1%
San Francisco 49ers	Candlestick Park	7	69732	488124	99.3%
Cincinnati Bengals	Paul Brown Stadium	8	60364	482917	92.1%
Minnesota Vikings	Hubert H. Humphrey Metrodome **	8	58751	470009	94.1%
Detroit Lions	Ford Field	8	56285	450286	87.3%
Buffalo Bills	Ralph Wilson Stadium **	7	63195	442366	86.5%
St. Louis Rams	Edward Jones Dome	8	52922	423383	81.0%
Tampa Bay Buccaneers	Raymond James Stadium	8	49314	394513	75.1%
