Pick #	Player	Position	Nationality	NHL team	College/junior/club team
64	Mark Brownschidle	Defence	United States	Winnipeg Jets	Boston University (NCAA)
65	Brent Grieve	Left Wing	Canada	New York Islanders	Oshawa Generals (OHL)
66	Matt Martin	Defence	United States	Toronto Maple Leafs	Avon Old Farms (USHS-CT)
67	Jim Cummins	Right Wing	United States	New York Rangers	Michigan State University (NCAA)
68	Niklas Andersson	Left Wing	Sweden	Quebec Nordiques	Vastra Frolunda IF (Sweden)
69	Allain Roy	Goaltender	Canada	Winnipeg Jets	Harvard University (NCAA)
70	Robert Reichel	Centre	Czechoslovakia	Calgary Flames	CHZ Litvinov (Czechoslovakia)
71	Brett Hauer	Defence	United States	Vancouver Canucks	Richfield High School (USHS-MN)
72	Reid Simpson	Left Wing	Canada	Philadelphia Flyers	Prince Albert Raiders (WHL)
73	Jim McKenzie	Left Wing	Canada	Hartford Whalers	Victoria Cougars (WHL)
74	Sergei Fedorov	Centre	Soviet Union	Detroit Red Wings	CSKA Moscow (USSR)
75	J. F. Quintin	Left Wing	Canada	Minnesota North Stars	Shawinigan Cataractes (QMJHL)
76	Eric Dubois	Defence	Canada	Quebec Nordiques	Laval Titan (QMJHL)
77	Doug MacDonald	Centre	Canada	Buffalo Sabres	University of Wisconsin (NCAA)
78	Josef Beranek	Centre	Czechoslovakia	Edmonton Oilers	CHZ Litvinov (Czechoslovakia)
79	Todd Nelson	Defence	Canada	Pittsburgh Penguins	Prince Albert Raiders (WHL)
80	Jackson Penney	Right Wing	Canada	Boston Bruins	Victoria Cougars (WHL)
81	Jim Maher	Defence	United States	Los Angeles Kings	University of Illinois at Chicago (NCAA)
82	Trent Klatt	Right Wing	United States	Washington Capitals	Osseo Senior High School (USHS-MN)
83	Andre Racicot	Goaltender	Canada	Montreal Canadiens	Granby Bisons (QMJHL)
84	Ryan O'Leary	Centre	United States	Calgary Flames	Hermontown Senior School (USHS-MN)
