Team	Wins	Losses	Ties	Win Pct.
Arizona Cardinals	2	1	0	0.667
Atlanta Falcons	3	1	1	0.700 [a ]
Baltimore Ravens	13	9	0	0.591
Buffalo Bills	5	2	0	0.714
Carolina Panthers	3	1	0	0.750
Chicago Bears	3	1	0	0.750
Cincinnati Bengals	21	9	0	0.700
Cleveland Browns	19	5	0	0.792
Dallas Cowboys	1	2	0	0.333
Denver Broncos	1	3	0	0.250
Detroit Lions	4	1	0	0.800
Green Bay Packers	2	2	0	0.500
Houston Texans	1	1	0	0.500
Indianapolis Colts	4	1	0	0.800
Jacksonville Jaguars	8	10	0	0.444
Kansas City Chiefs	5	3	0	0.625
Miami Dolphins	5	2	0	0.714
Minnesota Vikings	2	2	0	0.500
New England Patriots	4	3	0	0.571
New Orleans Saints	2	1	0	0.667
New York Giants	2	1	0	0.667
New York Jets	4	1	0	0.800
Oakland Raiders	5	2	0	0.714
Philadelphia Eagles	2	2	0	0.500
St. Louis Rams	1	2	0	0.333
San Diego Chargers	7	2	0	0.778
San Francisco 49ers	1	3	0	0.250
Seattle Seahawks	2	4	0	0.333
Tampa Bay Buccaneers	3	1	0	0.750
Tennessee Titans	11	12	0	0.478
Washington Redskins	3	0	0	1.000
Totals:	149	90	1	0.623 [a ]
