Driver	Team	Laps	Time/Retired	Grid
Adrián Fernández	Patrick Racing	59	2:01:14.605	17
Kenny Bräck	Team Rahal	59	+0.3 secs	12
Jimmy Vasser	Chip Ganassi Racing	59	+4.0 secs	5
Cristiano da Matta	PPI Motorsports	59	+4.8 secs	10
Patrick Carpentier	Forsythe Racing	59	+5.2 secs	11
Hélio Castroneves	Team Penske	59	+10.3 secs	8
Michel Jourdain, Jr.	Bettenhausen Racing	59	+11.0 secs	16
Tony Kanaan	Mo Nunn Racing	59	+15.8 secs	7
Oriol Servià	PPI Motorsports	59	+18.2 secs	14
Maurício Gugelmin	PacWest Racing	59	+18.6 secs	18
Mark Blundell	PacWest Racing	59	+18.7 secs	22
Luiz Garcia, Jr.	Arciero Racing	58	+ 1 lap	25
Tarso Marques	Dale Coyne Racing	57	+ 2 laps	23
Alex Barron	Dale Coyne Racing	54	Mechanical	19
Christian Fittipaldi	Newman-Haas Racing	51	Off course	15
Max Papis	Team Rahal	48	Contact	15
Paul Tracy	Team Green	47	Contact	4
Jason Bright	Della Penna Motorsports	44	Contact	24
Roberto Moreno	Patrick Racing	43	Contact	20
Michael Andretti	Newman-Haas Racing	38	Mechanical	6
Shinji Nakano	Walker Racing	38	Mechanical	21
Alex Tagliani	Forsythe Racing	36	Mechanical	13
Gil de Ferran	Team Penske	1	Contact	2
Juan Pablo Montoya	Chip Ganassi Racing	0	Contact	1
Dario Franchitti	Team Green	0	Contact	3
