No.	P	Name	Country	Age	Loan Club	Started	Ended	Start Source	End Source
4	MF	Michael Doyle Category:Articles with hCards	IRE	28	Coventry City	6 Aug	8 May	Leeds United	BBC Sport
30	GK	Frank Fielding Category:Articles with hCards	ENG	21	Blackburn Rovers	29 Sep	26 Oct	Leeds United	Leeds United
15	FW	Sam Vokes Category:Articles with hCards	WAL ENG	20	Wolverhampton Wanderers	19 Oct	1 Jan	Leeds United	Leeds United
28	MF	Max Gradel Category:Articles with hCards	CIV	22	Leicester City	19 Oct	19 Jan	Leeds United	Leeds United
35	MF	Hogan Ephraim Category:Articles with hCards	ENG	21	Queens Park Rangers	26 Nov	1 Jan	Leeds United	QPR
36	GK	David Martin Category:Articles with hCards	ENG	24	Liverpool	26 Nov	10 Feb	Leeds United	Sky Sports
30	DF	Tony Capaldi Category:Articles with hCards	NIR NOR	28	Cardiff City	26 Nov	4 Jan	Leeds United	Leeds United
15	FW	Gary McSheffrey Category:Articles with hCards	ENG	27	Birmingham City	29 Jan	8 May	Leeds United	BBC Sport
21	DF	Shane Lowry Category:Articles with hCards	AUS	20	Aston Villa	29 Jan	8 May	Leeds United	BBC Sport
33	DF	Neill Collins Category:Articles with hCards	SCO	26	Preston North End	23 Mar	8 May	BBC Sport	BBC Sport
