Airline	ICAO	IATA	Callsign	Commenced operations	Fleet size	Headquarters
AirAsia Zest	EZD	Z2	ZEST	1995	11	Pasay City
Cebu Pacific	CEB	5J	CEBU	1996	47	Pasay City
Fil-Asian Airways	MSE	MX	FAA	2008	1	Lapu-Lapu City
PAL Express	GAP	2P	AIRPHIL	1996	21	Pasay City
Philippine Airlines	PAL	PR	PHILIPPINE	1941	51	Pasay City
Philippines AirAsia	AAU	PQ	COOL RED	2012	3	Angeles City
Sky Pasada	WCC	SP	PASADA	2010	2	Pasay City
Spirit of Manila Airlines	MNP	SM	MANILA SKY	2010	3	Pasay City
Tigerair Philippines	SRQ	DG	SEAIR	1995	17	Makati City
SEAIR International	SGD	XO	AIR BLUE	2011	4	Clark
