Shooter	Event	Rank points	Score points	Total
Walton Eller ( USA )	WCF 2007	Defending champion	Defending champion	Defending champion
Francesco D'Aniello ( ITA )	OG Beijing	Olympic silver medalist	Olympic silver medalist	Olympic silver medalist
Hu Binyuan ( CHN )	OG Beijing	Olympic bronze medalist	Olympic bronze medalist	Olympic bronze medalist
Ronjan Sodhi ( IND )	WC Belgrade	15	15	30
Richard Faulds ( GBR )	WC Suhl	15	15	30
Vasily Mosin ( RUS )	WC Beijing	15	13	28
Håkan Dahlby ( SWE )	WC Kerrville	15	12	27
Roland Gerebics ( HUN )	WC Suhl	8	12	20
Jeffrey Holguin ( USA )	WC Kerrville	8	10	18
Saif Alshamsy ( UAE )	WC Beijing	8	8	16
Hamad Alafasi ( KUW )	WC Suhl	3	12	15
