Episode	Song choice	Original artist	Order #	Result
Audition	"Sweet Talker"	Carly Rae Jepsen	N/A	Advanced
Top 80	" I Try "	Macy Gray	Duets	Advanced
Top 40	" Breathe (2 AM) "	Anna Nalick	N/A	Advanced
Top 22	" Put Your Records On "	Corinne Bailey Rae	11	Advanced
Top 18	" Sweet Ones "	Sarah Slean	4	Advanced
Top 14	" Waiting in Vain "	Bob Marley & The Wailers	3	Advanced
Top 10	" Inside and Out "	Bee Gees	3	Bottom 3
Top 9	" Georgia on My Mind "	Hoagy Carmichael	5	Safe
Top 8	" Torn "	Natalie Imbruglia	7	Safe
Top 7	" Killer Queen "	Queen	3	Bottom 3
Top 6	" Come to My Window "	Melissa Etheridge	4	Bottom 3
Top 5	" Chuck E's in Love "	Rickie Lee Jones	4	Safe
Top 4	" My Heart Belongs to Daddy "	Mary Martin	1	Safe
Top 4	" I Got It Bad (and That Ain't Good) "	Ivie Anderson	5	Safe
Top 3	" At Seventeen "	Janis Ian	3	Eliminated
