Date	Tournament	Surface	Opponent in the final	Score
July 20, 1998	Londrina	Clay	Paulo Taicher	6–3, 6–4
November 9, 1998	Asunción	Clay	Alejandro Aramburu	6–1, 6–3
November 16, 1998	Asunción	Clay	Ivan Rodrigo	6–2, 2–6, 6–3
September 13, 1999	Lima	Clay	Solon Peppas	6–3, 7–5
April 17, 2000	Santiago	Clay	Mauricio Hadad	6–4, 6–3
May 1, 2000	Santiago	Clay	Adrián García	6–3, 6–3
May 8, 2000	Mendoza	Clay	José Acasuso	1–6, 7–6(2), 6–2
July 29, 2002	St. Petersburg	Clay	Andrei Stoliarov	7–6(3), 6–2
February 24, 2003	Cherbourg	Hard (i)	Rafael Nadal	6–3, 5–7, 6–4
June 6, 2005	Barcelona	Clay	Teymuraz Gabashvili	6–2, 6–3
August 29, 2005	Freudenstadt	Clay	Flavio Cipolla	7–5, 6–4
October 30, 2006	Aracaju	Clay	Boris Pašanski	6–1, 6–3
November 13, 2006	Guayaquil	Clay	Mariano Zabaleta	6–3, 4–6, 6–1
June 4, 2007	Prostějov	Clay	Florian Mayer	7–6(1), 6–4
September 17, 2007	Szczecin	Clay	Ivo Minář	6–2, 7–5
November 12, 2007	Buenos Aires	Clay	Marcos Daniel	6–1, 6–4
November 3, 2008	Guayaquil	Clay	Brian Dabul	3–6, 6–3, 6–2
