Rank	Airport	Code (IATA/ICAO)	Total Cargo (Metric Tonnes)	% Change
1.	Memphis International Airport	MEM/KMEM	3,695,438	3.8%
2.	Hong Kong International Airport	HKG/VHHH	3,660,901	3.0%
3.	Shanghai Pudong International Airport	PVG/ZSPD	2,602,916	1.7%
4.	Incheon International Airport	ICN/RKSI	2,423,717	5.2%
5.	Ted Stevens Anchorage International Airport	ANC/PANC	2,339,831	17.2%
6.	Paris-Charles de Gaulle Airport	CDG/LFPG	2,280,050	0.8%
7.	Frankfurt Airport	FRA/EDDF	2,111,031	2.7%
8.	Narita International Airport	NRT/RJAA	2,100,448	6.8%
9.	Louisville International Airport	SDF/KSDF	1,974,276	5.0%
10.	Singapore Changi Airport	SIN/WSSS	1,883,894	1.8%
11.	Dubai International Airport	DXB/OMDB	1,824,992	9.4%
12.	Miami International Airport	MIA/KMIA	1,806,770	6.0%
13.	Los Angeles International Airport	LAX/KLAX	1,629,525	11.9%
14.	Amsterdam Airport Schiphol	AMS/EHAM	1,602,585	3.0%
15.	Taiwan Taoyuan International Airport	TPE/RCTP	1,493,120	7.0%
16.	London Heathrow Airport	LHR/EGLL	1,486,260	6.5%
17.	John F. Kennedy International Airport	JFK/KJFK	1,450,605	9.8%
18.	Beijing Capital International Airport	PEK/ZBAA	1,365,768	14.5%
19.	O'Hare International Airport	ORD/KORD	1,332,123	13.1%
20.	Suvarnabhumi Airport	BKK/VTBS	1,173,084	3.9%
21.	Indianapolis International Airport	IND/KIND	1,039,993	5.6%
22.	Newark Liberty International Airport	EWR/KEWR	887,053	8.0%
23.	Tokyo International Airport	HND/RJTT	852,444	0.1%
24.	Kansai International Airport	KIX/RJBB	845,497	0.1%
25.	Luxembourg-Findel Airport	LUX/ELLX	788,224	8.0%
26.	Guangzhou Baiyun International Airport	CAN/ZGGG	685,868	1.3%
27.	Kuala Lumpur International Airport	KUL/WMKK	667,495	2.2%
28.	Dallas-Fort Worth International Airport	DFW/KDFW	660,036	8.7%
29.	Brussels Airport	BRU/EBBR	659,054	11.8%
30.	Hartsfield-Jackson Atlanta International Airport	ATL/KATL	655,277	9.0%
