Rank	Athlete	Nation	Olympics	Gold	Silver	Bronze	Total(min. 2 medals)
1	John Flanagan Category:Articles with hCards	United States (USA)	1900–1908	3	0	0	3
2	Yuriy Sedykh Category:Articles with hCards	Soviet Union (URS)	1976–1988	2	1	0	3
3	Matt McGrath Category:Articles with hCards	United States (USA)	1908–1924	1	2	0	3
4	Gyula Zsivótzky Category:Articles with hCards	Hungary (HUN)	1960–1968	1	2	0	3
5	Pat O'Callaghan Category:Articles with hCards	Ireland (IRL)	1928–1932	2	0	0	2
6	Romuald Klim Category:Articles with hCards	Soviet Union (URS)	1964–1968	1	1	0	2
6	Sergey Litvinov Category:Articles with hCards	Soviet Union (URS)	1980–1988	1	1	0	2
6	Primož Kozmus Category:Articles with hCards	Slovenia (SLO)	2008–2012	1	1	0	2
9	Imre Németh Category:Articles with hCards	Hungary (HUN)	1948–1952	1	0	1	2
9	Anatoliy Bondarchuk Category:Articles with hCards	Soviet Union (URS)	1972–1976	1	0	1	2
9	Koji Murofushi Category:Articles with hCards	Japan (JPN)	2004–2012	1	0	1	2
12	Igor Astapkovich Category:Articles with hCards	Belarus (BLR)	1992–2000	0	1	1	2
