Township	County	Pop. (2010)	Land ( sqmi )	Water (sqmi)	Latitude	Longitude	GEO ID	ANSI code
Kandiyohi	Burke	39	33.216	2.686	48.583099	-102.319674	3801341280	01037090
Kane	Bottineau	57	31.547	1.288	48.755714	-100.917243	3800941300	01759281
Karlsruhe	McHenry	38	34.283	1.109	48.066778	-100.561299	3804941420	02397818
Keene	McKenzie	41	36.881	0.000	47.978971	-102.962365	3805341580	01036969
Keller	Burke	33	35.799	0.247	48.850211	-102.872177	3801341660	01759323
Kelso	Traill	69	35.067	0.000	47.281432	-97.006838	3809741860	01036679
Kenmare	Ward	104	33.312	1.212	48.683915	-102.027850	3810142060	02397819
Kennedy	Hettinger	33	36.067	0.068	46.330491	-102.871922	3804142100	01037232
Kennison	LaMoure	108	35.832	0.019	46.580123	-98.714723	3804542140	01036915
Kensal	Stutsman	44	32.208	2.715	47.278032	-98.805841	3809342220	01036509
Kensington	Walsh	244	33.789	0.076	48.416067	-97.721640	3809942260	01036537
Kent	Dickey	29	35.881	0.025	46.073475	-98.317906	3802142300	01036755
Kentner	Dickey	183	36.114	0.009	46.070600	-98.431761	3802142340	01036757
Kern	Hettinger	20	32.362	0.020	46.234600	-102.299734	3804142420	01037211
Keystone	Dickey	44	35.891	0.000	46.155029	-98.566732	3802142500	01036774
Kickapoo	Mountrail	28	33.414	2.472	48.237425	-102.009372	3806142620	01036938
Kingsley	Griggs	50	36.039	0.000	47.456928	-98.435797	3803942820	01036645
Kingston	Sargent	85	41.940	0.375	46.057775	-97.310097	3808142860	01036792
Kinloss	Walsh	32	35.325	0.393	48.504520	-98.266561	3809942900	01036551
Kinyon	Cass	91	36.022	0.000	47.195064	-97.006279	3801742980	01036394
Kirkelie	Ward	436	36.393	0.058	48.325754	-101.476236	3810143020	01759683
Klingstrup	Ramsey	46	35.870	0.000	48.500605	-98.905402	3807143100	01759578
Knife River	Mountrail	34	35.691	0.278	48.068334	-102.505444	3806143220	01037095
Knox	Benson	28	35.788	0.605	48.328429	-99.644306	3800543300	02397822
Kohlmeier	Rolette	27	35.255	0.435	48.682919	-100.070089	3807943340	01759624
Kottke Valley	McHenry	49	35.642	0.000	48.327400	-100.950435	3804943460	01759494
Kunze	Hettinger	51	36.429	0.028	46.584716	-102.868980	3804143620	01759457
