Date	Opponent	Venue	Result	Attendance	Away Fans
Aug 11	Shrewsbury Town	H	L 0 - 4	3,893	375
Aug 18	Mansfield Town	A	W 3 - 1	3,357	620
Aug 25	Accrington Stanley	H	W 2 - 0	3,189	105
Sep 01	Dagenham & Redbridge	A	L 0 - 1	2,060	468
Sep 07	Bradford City	H	L 1 - 2	5,286	1,064
Sep 15	Darlington	A	L 0 - 2	4,075	412
Sep 22	Grimsby Town	H	L 1 - 2	4,428	1,124
Sep 29	Wrexham	A	L 0 - 1	3,614	179
Oct 02	Bury	A	D 1 - 1	1,690	175
Oct 06	Morecambe	H	D 1 - 1	3,281	187
Oct 14	Milton Keynes Dons	A	L 0 - 4	13,037	403
Oct 20	Peterborough United	H	D 1 - 1	5,036	1,725
Oct 27	Brentford	A	L 0 - 1	4,368	465
Nov 02	Chester City	H	L 0 - 1	3,960	151
Nov 06	Chesterfield	H	L 2 - 4	3,893	924
Nov 17	Wycombe Wanderers	A	L 0 - 1	4,297	288
Nov 24	Notts County	H	W 2 - 1	4,543	1,060
Dec 04	Stockport County	A	W 3 - 1	5,260	191
Dec 08	Hereford United	A	L 1 - 3	2,528	209
Dec 15	Barnet	H	W 4 - 1	3,549	155
Dec 22	Darlington	H	L 0 - 4	4,025	375
Dec 26	Bradford City	A	L 1 - 2	15,510	740
Dec 29	Grimsby Town	A	L 0 - 1	5,533	969
Jan 01	Bury	H	D 1 - 1	3,327	114
Jan 05	Rochdale	A	W 2 - 0	2,721	263
Jan 12	Rotherham United	H	L 1 - 3	5,016	1,482
Jan 26	Dagenham & Redbridge	H	W 2 - 0	3,779	191
Jan 29	Mansfield Town	H	L 1 - 2	4,280	734
Feb 02	Shrewsbury Town	A	W 2 - 1	4,892	268
Feb 05	Macclesfield Town	A	W 2 - 1	1,576	202
Feb 09	Rochdale	H	W 2 - 1	3,955	468
Feb 12	Accrington Stanley	A	W 3 - 0	1,281	209
Feb 16	Macclesfield Town	H	W 3 - 1	3,682	121
Feb 23	Rotherham United	A	L 2 - 3	4,321	907
Mar 01	Wycombe Wanderers	H	W 1 - 0	4,002	333
Mar 07	Chesterfield	A	L 1 - 4	4,353	685
Mar 11	Notts County	A	W 1 - 0	3,858	870
Mar 15	Stockport County	H	L 0 - 1	4,544	819
Mar 22	Barnet	A	L 2 - 5	2,115	393
Mar 24	Hereford United	H	W 2 - 1	3,614	381
Mar 29	Peterborough United	A	L 0 - 4	8,035	1,007
Apr 04	Milton Keynes Dons	H	L 1 - 2	3,896	528
Apr 12	Chester City	A	W 2 - 1	2,089	205
Apr 19	Brentford	H	W 3 - 1	3,699	376
Apr 26	Morecambe	A	W 2 - 1	2,762	501
May 3	Wrexham	H	L 2 - 4	4,958	597
