Place	Player	Country	Score	To par	Money ( $ )
1	Jack Nicklaus	United States	68-71-73-74=286	–2	25,000
T2	Bruce Crampton	Australia	72-75-69-73=289	+1	15,833
T2	Bobby Mitchell	United States	73-72-71-73=289	+1	15,833
T2	Tom Weiskopf	United States	74-71-70-74=289	+1	15,833
T5	Homero Blancas	United States	76-71-69-74=290	+2	6,200
T5	Bruce Devlin	Australia	74-75-70-71=290	+2	6,200
T5	Jerry Heard	United States	73-71-72-74=290	+2	6,200
T5	Jim Jamieson	United States	72-70-71-77=290	+2	6,200
T5	Jerry McGee	United States	73-74-71-72=290	+2	6,200
T10	Gary Player	South Africa	73-75-72-71=291	+3	3,600
T10	Dave Stockton	United States	76-70-74-71=291	+3	3,600
