Place	Player	Country	Score	To par
T1	Nick Faldo	England	69-63-70=202	–8
T1	Corey Pavin	United States	68-66-68=202	–8
T3	Greg Norman	Australia	66-68-69=203	–7
T3	Bernhard Langer	Germany	67-66-70=203	–7
T5	Nick Price	Zimbabwe	68-70-67=205	–5
T5	Peter Senior	Australia	66-69-70=205	–5
T7	Wayne Grady	Australia	64-68-64=206	–4
T7	Ernie Els	South Africa	68-69-69=206	–4
T7	Fred Couples	United States	68-66-72=206	–4
T10	John Daly	United States	71-66-70=207	–3
T10	Fuzzy Zoeller	United States	70-66-71=207	–3
