Opposing Teams	Against	Date	Venue	Status
Scotland	20	03/02/2007	Twickenham , London	Six Nations
Italy	7	10/02/2007	Twickenham , London	Six Nations
Ireland	43	24/02/2007	Croke Park , Dublin	Six Nations
France	18	11/03/2007	Twickenham , London	Six Nations
Wales	27	17/03/2007	Millennium Stadium , Cardiff	Six Nations
South Africa	58	26/05/2007	Vodacom Park , Bloemfontein	First Test
South Africa	55	02/06/2007	Loftus Versfeld , Pretoria	Second Test
Wales	5	04/08/2007	Twickenham , London	Test Match
France	21	11/08/2007	Twickenham , London	First Test
France	22	18/08/2007	Stade Vélodrome , Marseille	Second Test
U.S.A.	10	08/09/2007	Stade Félix-Bollaert , Lens	2007 Rugby World Cup
South Africa	36	14/09/2007	Stade de France , Saint-Denis	2007 Rugby World Cup
Samoa	22	22/09/2007	Stade de la Beaujoire , Nantes	2007 Rugby World Cup
Tonga	20	28/09/2007	Parc des Princes , Paris	2007 Rugby World Cup
Australia	10	06/10/2007	Stade Vélodrome , Marseille	2007 Rugby World Cup
France	9	13/10/2007	Stade de France , Saint-Denis	2007 Rugby World Cup
South Africa	15	20/10/2007	Stade de France , Saint-Denis	2007 Rugby World Cup
