Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	72	1:38:50.492	1
Heinz-Harald Frentzen	Williams - Renault	72	+23.537	2
Eddie Irvine	Ferrari	72	+1:14.801	5
Jacques Villeneuve	Williams - Renault	72	+1:21.784	4
Jean Alesi	Benetton - Renault	72	+1:22.735	8
Ralf Schumacher	Jordan - Peugeot	72	+1:29.871	3
David Coulthard	McLaren - Mercedes	71	Collision	9
Johnny Herbert	Sauber - Petronas	71	+1 lap	14
Giancarlo Fisichella	Jordan - Peugeot	71	+1 lap	11
Jarno Trulli	Prost - Mugen-Honda	70	+2 laps	6
Ukyo Katayama	Minardi - Hart	70	+2 laps	21
Damon Hill	Arrows - Yamaha	69	+3 laps	17
Mika Salo	Tyrrell - Ford	61	Electrical	19
Alexander Wurz	Benetton - Renault	60	Spun off	7
Pedro Diniz	Arrows - Yamaha	58	Spun off	16
Norberto Fontana	Sauber - Petronas	40	Spun off	20
Rubens Barrichello	Stewart - Ford	36	Engine	13
Jan Magnussen	Stewart - Ford	33	Brakes	15
Mika Häkkinen	McLaren - Mercedes	18	Engine	10
Jos Verstappen	Tyrrell - Ford	15	Spun off	18
Shinji Nakano	Prost - Mugen-Honda	7	Spun off	12
Tarso Marques	Minardi - Hart	5	Engine	22
