Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Oct 12, 1997	Michelob Championship at Kingsmill	–13 (67-66-71-67=271)	Playoff	Grant Waite , Duffy Waldorf
Oct 19, 1997	Walt Disney World/Oldsmobile Classic	–18 (65-70-65-70=270)	Playoff	Dan Forsman
Nov 2, 1997	The Tour Championship	–11 (66-69-70-68=273)	1 stroke	Jim Furyk
Feb 22, 1998	Tucson Chrysler Classic	–19 (66-62-68-73=269)	4 strokes	Justin Leonard , David Toms
May 3, 1998	Shell Houston Open	–12 (69-70-73-64=276)	1 stroke	Jeff Maggert
Aug 30, 1998	NEC World Series of Golf	–11 (69-66-66-68=269)	2 strokes	Phil Mickelson
Oct 11, 1998	Michelob Championship at Kingsmill	–16 (65-67-68-68=268)	3 strokes	Phil Tataurangi
Jan 10, 1999	Mercedes Championships	–26 (67-63-68-68=266)	9 strokes	Mark O'Meara
Jan 24, 1999	Bob Hope Chrysler Classic	–26 (70-71-64-70-59=334)	1 stroke	Steve Pate
Mar 28, 1999	The Players Championship	–3 (69-69-74-73=285)	2 strokes	Scott Gump
Apr 4, 1999	BellSouth Classic	–18 (66-69-68-67=270)	2 strokes	Stewart Cink
Oct 1, 2000	Buick Challenge	–19 (68-69-67-65=269)	2 strokes	Jeff Maggert , Nick Price
Jul 22, 2001	The Open Championship	–10 (69-73-65-67=274)	3 strokes	Niclas Fasth
