Year	Number	Team	Co-driver	Position	Laps
1985	44	Peter Williamson Toyota	Peter Williamson	DNF	32
1988	25	Benson & Hedges Racing	Tony Longhurst	1st	161
1989	16	Holden Racing Team	Larry Perkins	6th	158
1990	11	Perkins Engineering	Larry Perkins	3rd	161
1991	11	Mobil 1 Racing	Larry Perkins	DNF	65
1992	15	Holden Racing Team	Brad Jones	15	131
1993	15	Holden Racing Team	Win Percy	DNF	107
1994	05	Holden Racing Team	Peter Brock	DNF	138
1995	05	Holden Racing Team	Peter Brock	DNF	32
1996	05	Holden Racing Team	Peter Brock	5th	160
1997	47	CDB Bottle Magic	John Trimbole	DNF	25
1998	32	Tomas Mezera Motorsport	Alain Menu	DNF	0
1999	32	Tomas Mezera Motorsport	Tony Ricciardello	DNF	41
2000	21	Brad Jones Racing	Brad Jones	DNF	159
2001	2	Holden Racing Team	Jason Bright	DNF	126
2002	2	Holden Racing Team	Jason Bright	3rd	161
2003	8	Castrol Perkins Racing	Paul Dumbrell	14th	155
2004	75	Toll Racing	Anthony Tratt	18th	157
