Name	Pos.	Height	Weight	Date of Birth	Club
Zoltán Szécsi	GK	m (ft 6in)	kg (lb)	1977-12-22	BVSC Vízilabda
Tamás Varga	CB	m (ft 4in)	kg (lb)	1975-07-14	Vasas SC
Norbert Madaras	CF	m (ft 3in)	kg (lb)	1979-12-01	Vasas SC
Ádám Steinmetz	CF	m (ft 6in)	kg (lb)	1980-08-11	Vasas SC
Tamás Kásás	D	m (ft 7in)	kg (lb)	1976-07-20	Vasas SC
Attila Vári	CB	m (ft 7in)	kg (lb)	1976-02-26	Domino BHSE
Gergely Kiss	CF	m (ft 6in)	kg (lb)	1977-09-21	Domino BHSE
Tibor Benedek	CF	m (ft 3in)	kg (lb)	1972-07-12	Pro Recco
Rajmund Fodor	D	m (ft 3in)	kg (lb)	1976-02-21	Domino BHSE
István Gergely	GK	m (ft 8in)	kg (lb)	1976-08-20	Domino BHSE
Barnabás Steinmetz	CB	m (ft 5in)	kg (lb)	1975-10-06	Vasas SC
Tamás Molnár	CF	m (ft 5in)	kg (lb)	1975-08-02	Domino BHSE
Péter Biros	CF	m (ft 4in)	kg (lb)	1976-04-05	Domino BHSE
Head Coach: Dénes Kemény	Head Coach: Dénes Kemény	Head Coach: Dénes Kemény	Head Coach: Dénes Kemény	Head Coach: Dénes Kemény	Head Coach: Dénes Kemény
