Stage	Winner	General classification	Points classification	Trofeo Fast Team
P	Renault-Elf	Bernard Hinault	not awarded	Renault-Elf
1	Giuseppe Saronni	Patrick Bonnet	Giuseppe Saronni	Renault-Elf
2	Michael Wilson	Laurent Fignon	Giuseppe Saronni	Renault-Elf
3	Bernard Hinault	Bernard Hinault	Giuseppe Saronni	Bianchi
4	Urs Freuler	Bernard Hinault	Giuseppe Saronni	Bianchi
5	Urs Freuler	Bernard Hinault	Urs Freuler	Bianchi
6	Silvano Contini	Bernard Hinault	Giuseppe Saronni	Bianchi
7	Francesco Moser	Francesco Moser	Francesco Moser	Bianchi
8	Moreno Argentin	Francesco Moser	Francesco Moser	Bianchi
9	Giuseppe Saronni	Francesco Moser	Giuseppe Saronni	Bianchi
10	Urs Freuler	Francesco Moser	Francesco Moser	Bianchi
11	Bernard Becaas	Francesco Moser	Francesco Moser	Bianchi
12	Bernard Hinault	Bernard Hinault	Francesco Moser	Bianchi
13	Silvano Contini	Bernard Hinault	Francesco Moser	Bianchi
14	Guido Bontempi	Bernard Hinault	Francesco Moser	Bianchi
15	Silvestro Milani	Bernard Hinault	Francesco Moser	Bianchi
16	Vicente Belda	Bernard Hinault	Francesco Moser	Bianchi
17	Silvano Contini	Silvano Contini	Francesco Moser	Bianchi
18	Bernard Hinault	Bernard Hinault	Francesco Moser	Bianchi
19	Robert Dill-Bundi	Bernard Hinault	Francesco Moser	Bianchi
20	Francesco Moser	Bernard Hinault	Francesco Moser	Bianchi
21	Giuseppe Saronni	Bernard Hinault	Francesco Moser	Bianchi
22	Bernard Hinault	Bernard Hinault	Francesco Moser	Bianchi
Final	Final	Bernard Hinault	Francesco Moser	Bianchi
