Match	Date	Location	Lineup	Result	Competition
Sweden 1995 FIFA Women's World Cup	Sweden 1995 FIFA Women's World Cup	Sweden 1995 FIFA Women's World Cup	Sweden 1995 FIFA Women's World Cup	Sweden 1995 FIFA Women's World Cup	Sweden 1995 FIFA Women's World Cup
1	1995-06-05	Karlstad	Start	0-1 L	Group stage
2	1995-06-07	Karlstad	Start	2-1 W	Group stage
3	1995-06-09	Vasteras	off 76' ( on Etsuko Handa)	0-2 L	Group stage
Atlanta 1996 Women's Olympic Football Tournament	Atlanta 1996 Women's Olympic Football Tournament	Atlanta 1996 Women's Olympic Football Tournament	Atlanta 1996 Women's Olympic Football Tournament	Atlanta 1996 Women's Olympic Football Tournament	Atlanta 1996 Women's Olympic Football Tournament
4	1996-07-21	Birmingham, AL	Start	2-3 L	Group stage
5	1996-07-23	Birmingham, AL	Start	0-2 L	Group stage
6	1996-07-25	Washington, D.C.	Start	0-4 L	Group stage
USA 1999 FIFA Women's World Cup |	USA 1999 FIFA Women's World Cup |	USA 1999 FIFA Women's World Cup |	USA 1999 FIFA Women's World Cup |	USA 1999 FIFA Women's World Cup |	USA 1999 FIFA Women's World Cup |
7	1999-06-19	San Jose, CA	Start	1-1 D	Group stage
8	1999-06-23	Portland, OR	Start	0-5 L	Group stage
9	1999-06-26	Chicago	Start	0-4 L	Group stage
USA 2003 FIFA Women's World Cup	USA 2003 FIFA Women's World Cup	USA 2003 FIFA Women's World Cup	USA 2003 FIFA Women's World Cup	USA 2003 FIFA Women's World Cup	USA 2003 FIFA Women's World Cup
10	2003-09-20	Columbus, OH	off 80' ( on Maruyama )	6-0 W	Group stage
11	2003-09-24	Columbus, OH	Start	0-3 L	Group stage
12	2003-09-27	Foxboro, MA	Start	1-3 L	Group stage
Athens 2004 Women's Olympic Football Tournament	Athens 2004 Women's Olympic Football Tournament	Athens 2004 Women's Olympic Football Tournament	Athens 2004 Women's Olympic Football Tournament	Athens 2004 Women's Olympic Football Tournament	Athens 2004 Women's Olympic Football Tournament
13	2004-08-11	Volos	Start	1-0 W	Group stage
14	2004-08-14	Piraeus	Start	0-1 L	Group stage
15	2004-08-20	Thessaloniki	Start	1-2 L	Quarter-final
China 2007 FIFA Women's World Cup	China 2007 FIFA Women's World Cup	China 2007 FIFA Women's World Cup	China 2007 FIFA Women's World Cup	China 2007 FIFA Women's World Cup	China 2007 FIFA Women's World Cup
16	2007-09-11	Shanghai	Start	2-2 D	Group stage
17	2007-09-14	Shanghai	Start	1-0 W	Group stage
18	2007-09-17	Hangzhou	Start	0-2 L	Group stage
Beijing 2008 Women's Olympic Football Tournament	Beijing 2008 Women's Olympic Football Tournament	Beijing 2008 Women's Olympic Football Tournament	Beijing 2008 Women's Olympic Football Tournament	Beijing 2008 Women's Olympic Football Tournament	Beijing 2008 Women's Olympic Football Tournament
19	2008-08-06	Qinhuangdao	Start; ( c )	2-2 D	Group stage
20	2008-08-09	Qinhuangdao	Start	0-1 L	Group stage
21	2008-08-12	Shanghai	Start	5-1 W	Group stage
22	2008-08-15	Qinhuangdao	Start	2-0 W	Quarter-final
23	2008-08-18	Beijing	Start	2-4 L	Semifinal
24	2008-08-21	Beijing	Start	0-2 L	Bronze medal match
Germay 2011 FIFA Women's World Cup	Germay 2011 FIFA Women's World Cup	Germay 2011 FIFA Women's World Cup	Germay 2011 FIFA Women's World Cup	Germay 2011 FIFA Women's World Cup	Germay 2011 FIFA Women's World Cup
25	2011-06-27	Bochum	Start; ( c )	2-1 W	Group stage
26	2011-07-01	Leverkusen	off 83' ( on Utsugi ); ( c )	4-0 W	Group stage
27	2011-07-05	Augsburg	Start; ( c )	0-2 L	Group stage
28	2011-07-09	Wolfsburg	Start; ( c )	1-0 aet W	Quarter-final
29	2011-07-13	Frankfurt	Start; ( c )	3-1 W	Semifinal
30	2011-07-17	Frankfurt	Start; ( c )	2-2 (pso 3-1) ( W )	Final
London 2012 Women's Olympic Football Tournament	London 2012 Women's Olympic Football Tournament	London 2012 Women's Olympic Football Tournament	London 2012 Women's Olympic Football Tournament	London 2012 Women's Olympic Football Tournament	London 2012 Women's Olympic Football Tournament
31	2012-07-25	Coventry	Start	2-1 W	Group stage
32	2012-07-28	Coventry	off 59' ( on Tanaka )	0-0 D	Group stage
33	2012-08-03	Cardiff	Start	2-0 W	Quarter-final
34	2012-08-06	London	Start	2-1 W	Semifinal
35	2012-08-09	London	Start	1-2 L	Gold medal match
Match Reports	Match Reports	Match Reports	Match Reports	Match Reports	Match Reports
