Date	Opponent	Score	Loss	Record
June 1	@ Mets	4–3	Smith (3–6)	24–27
June 3	Pirates	6–4	Neagle (5–6)	25–27
June 4	Pirates	4–3	Ritz (1–1)	25–28
June 5	Pirates	4–3	Moore (0–1)	25–29
June 6	Mets	11–3	Bottenfield (3–1)	25–30
June 7	Mets	10–8	Mason (2–3)	26–30
June 8	Mets	5–4	Saberhagen (6–3)	27–30
June 9	@ Reds	7–1	Ritz (1–2)	27–31
June 10	@ Reds	10–4	Harris (3–5)	27–32
June 11	@ Reds	6–4	Nied (5–4)	27–33
June 12	@ Reds	3–2	Carrasco (3–3)	28–33
June 13	@ Braves	7–2	Glavine (7–6)	29–33
June 14	@ Braves	3–1	Ritz (1–3)	29–34
June 15	@ Braves	4–0	Harris (3–6)	29–35
June 16	@ Braves	11–8	Ruffin (3–3)	29–36
June 17	@ Dodgers	13–5	Hershiser (3–4)	30–36
June 18	@ Dodgers	9–3	Martínez (6–3)	31–36
June 19	@ Dodgers	7–3	Ritz (1–4)	31–37
June 20	Astros	5–4	Harris (3–7)	31–38
June 21	Astros	8–0	Kile (5–3)	32–38
June 22	Astros	14–5	Swindell (5–5)	33–38
June 24	Giants	10–3	Blair (0–3)	33–39
June 25	Giants	6–4	Torres (2–7)	34–39
June 26	Giants	8–1	Harris (3–8)	34–40
June 27	Padres	12–7	Ashby (3–6)	35–40
June 28	Padres	10–9	Elliott (0–1)	36–40
June 28	Padres	11–3 (11)	Harris (3–9)	36–41
June 29	Padres	10–4	Blair (0–4)	36–42
June 30	@ Cardinals	9–7	Munoz (3–2)	36–43
