Rnd.	Race	Circuit	Date	Pole position	Fastest lap	Winning driver	Constructor	Tyre	Report
1	Argentine Grand Prix	Buenos Aires	28 January	Clay Regazzoni	Emerson Fittipaldi	Emerson Fittipaldi	Lotus - Ford	G	Report
2	Brazilian Grand Prix	Interlagos	11 February	Ronnie Peterson	Emerson Fittipaldi Denny Hulme	Emerson Fittipaldi	Lotus - Ford	G	Report
3	South African Grand Prix	Kyalami	3 March	Denny Hulme	Emerson Fittipaldi	Jackie Stewart	Tyrrell - Ford	G	Report
4	Spanish Grand Prix	Montjuïc	29 April	Ronnie Peterson	Ronnie Peterson	Emerson Fittipaldi	Lotus - Ford	G	Report
5	Belgian Grand Prix	Zolder	20 May	Ronnie Peterson	François Cevert	Jackie Stewart	Tyrrell - Ford	G	Report
6	Monaco Grand Prix	Monaco	3 June	Jackie Stewart	Emerson Fittipaldi	Jackie Stewart	Tyrrell - Ford	G	Report
7	Swedish Grand Prix	Anderstorp	17 June	Ronnie Peterson	Denny Hulme	Denny Hulme	McLaren - Ford	G	Report
8	French Grand Prix	Paul Ricard	1 July	Jackie Stewart	Denny Hulme	Ronnie Peterson	Lotus - Ford	G	Report
9	British Grand Prix	Silverstone	14 July	Ronnie Peterson	James Hunt	Peter Revson	McLaren - Ford	G	Report
10	Dutch Grand Prix	Zandvoort	29 July	Ronnie Peterson	Ronnie Peterson	Jackie Stewart	Tyrrell - Ford	G	Report
11	German Grand Prix	Nürburgring	5 August	Jackie Stewart	Carlos Pace	Jackie Stewart	Tyrrell - Ford	G	Report
12	Austrian Grand Prix	Österreichring	19 August	Emerson Fittipaldi	Carlos Pace	Ronnie Peterson	Lotus - Ford	G	Report
13	Italian Grand Prix	Monza	9 September	Ronnie Peterson	Jackie Stewart	Ronnie Peterson	Lotus - Ford	G	Report
14	Canadian Grand Prix	Mosport Park	23 September	Ronnie Peterson	Emerson Fittipaldi	Peter Revson	McLaren - Ford	G	Report
15	United States Grand Prix	Watkins Glen	7 October	Ronnie Peterson	James Hunt	Ronnie Peterson	Lotus - Ford	G	Report
