Team	Lost	Tied	Pct.	Years	Total Games	Conference
Old Dominion 1	10	0	.7917	4	48	Independent
Michigan	315	36	.7344	133	1254	Big Ten
Notre Dame	301	42	.7334	124	1208	Independent
Boise State	148	2	.7230	45	538	Mountain West
Oklahoma	310	53	.7182	118	1194	Big 12
Ohio State 2	316	53	.71600	123	1206	Big Ten
Texas	334	33	.71596	120	1234	Big 12
Alabama 3	321	43	.7124	118	1191	SEC
Southern California 4	319	54	.7015	119	1159	Pac-12
Nebraska	353	40	.7014	123	1249	Big Ten
Tennessee	354	53	.6845	116	1206	SEC
Florida State 5	237	17	.6678	66	739	ACC
Penn State 6	365	41	.6585	126	1129	Big Ten
LSU	393	47	.6479	119	1183	SEC
Georgia	402	54	.6469	119	1215	SEC
Miami (FL)	331	19	.6343	87	931	ACC
Florida	387	40	.6323	106	1107	SEC
Auburn	414	47	.6277	120	1175	SEC
South Alabama	15	0	.6250	4	40	Sun Belt
Miami (OH)	410	44	.6150	124	1122	MAC
Washington	424	50	.6106	123	1153	Pac-12
Arizona State	361	24	.6090	100	954	Pac-12
Virginia Tech	441	46	.6078	119	1183	ACC
Central Michigan	381	36	.6010	112	1000	MAC
West Virginia	463	45	.60074	120	1216	Big 12
Texas A&M	452	48	.60067	118	1192	SEC
Clemson	450	45	.6004	117	1150	ACC
Arkansas	460	40	.5946	119	1184	SEC
Georgia Tech 7	468	43	.5934	120	1204	ACC
Michigan State	436	44	.5929	116	1125	Big Ten
Colorado	463	36	.5923	123	1170	Pac-12
Fresno State	388	27	.5907	91	981	Mountain West
Southern Miss	382	26	.59025	96	964	C-USA
UCLA	386	37	.59017	94	987	Pac-12
Utah	435	31	.5882	119	1094	Pac-12
South Florida	78	0	.5873	16	189	The American
Bowling Green	350	52	.5854	94	907	MAC
Western Kentucky	370	30	.5847	94	927	Sun Belt
Syracuse	496	49	.5816	123	1244	ACC
Boston College	454	37	.5777	114	1119	ACC
Pittsburgh	497	42	.5761	123	1222	ACC
BYU	388	26	.5752	88	944	Independent
Middle Tennessee	396	28	.5734	98	961	C-USA
Army	481	51	.5729	123	1186	Independent
Stanford	437	49	.5727	106	1080	Pac-12
Wisconsin	476	53	.5712	124	1172	Big Ten
Arizona	428	33	.5701	109	1034	Pac-12
Louisiana Tech	427	37	.5696	109	1035	C-USA
Minnesota	488	44	.5693	129	1184	Big Ten
Troy	375	28	.5658	92	896	Sun Belt
Tulsa	454	27	.5655	113	1076	C-USA
Hawaii	397	24	.5630	96	936	Mountain West
Texas Tech	410	32	.5626	88	974	Big 12
North Carolina 8	503	54	.5623	122	1211	ACC
California 9	496	51	.5595	117	1184	Pac-12
Oregon	471	46	.5593	117	1121	Pac-12
Ole Miss	492	35	.5589	118	1155	SEC
San Diego State	398	32	.5553	90	931	Mountain West
Western Michigan	419	24	.5552	107	969	MAC
Navy	536	57	.5509	132	1257	Independent
Toledo	406	24	.5457	92	920	MAC
UTSA	10	0	.5455	2	22	C-USA
Air Force	291	13	.5451	57	654	Mountain West
Texas State	411	25	.5422	98	925	Sun Belt
Missouri	532	52	.5404	122	1214	SEC
Nevada	447	33	.5351	106	997	Mountain West
TCU	520	57	.5340	116	1177	Big 12
Purdue	515	48	.53333	125	1155	Big Ten
NIU	465	51	.53330	111	1051	MAC
Houston	341	15	.5316	67	744	The American
Iowa	531	39	.5283	124	1167	Big Ten
Virginia	563	48	.5270	123	1241	ACC
Maryland	553	43	.5264	120	1213	ACC
Ball State	381	32	.5240	88	834	MAC
UCF	186	1	.5193	34	388	The American
East Carolina	378	12	.5164	77	794	C-USA
Illinois	544	50	.5162	123	1176	Big Ten
Louisville	439	17	.5146	94	922	The American
South Carolina	544	44	.5095	119	1154	SEC
Massachusetts	538	50	.5083	130	1145	MAC
Marshall	520	47	.5081	113	1105	C-USA
North Carolina State	541	55	.5069	121	1153	ACC
Rutgers	608	42	.5067	143	1275	The American
North Texas	466	33	.5066	97	978	C-USA
Cincinnati	557	51	.5055	125	1178	The American
Oklahoma State	528	48	.5045	111	1114	Big 12
Baylor	544	44	.5022	111	1137	Big 12
San Jose State	461	38	.5016	95	963	Mountain West
Kentucky	582	44	.4992	122	1206	SEC
Vanderbilt	578	50	.4979	123	1201	SEC
Ohio	530	48	.4973	117	1102	MAC
Kansas	580	58	.4971	123	1211	Big 12
Utah State	505	31	.4961	115	1033	Mountain West
Akron	505	36	.4922	112	1030	MAC
Louisiana-Lafayette	524	34	.4882	111	1057	Sun Belt
Washington State	526	45	.4879	117	1071	Pac-12
Connecticut	517	38	.4876	114	1046	The American
Duke	490	31	.4873	100	986	ACC
SMU	499	54	.4853	96	1022	The American
Wyoming	532	28	.4844	116	1059	Mountain West
Mississippi State 10	549	39	.4841	113	1102	SEC
Arkansas State	457	37	.4832	98	920	Sun Belt
Oregon State	551	50	.4820	116	1112	Pac-12
Memphis	487	33	.4766	97	962	The American
Colorado State	544	33	.4702	114	1058	Mountain West
Iowa State	602	46	.4579	121	1153	Big 12
Tulane	600	38	.4551	119	1136	C-USA
New Mexico	553	31	.4539	114	1041	Mountain West
Eastern Michigan	545	47	.4470	121	1028	MAC
Temple	544	52	.4461	114	1029	The American
UAB	137	2	.4458	22	249	C-USA
Kansas State	614	42	.4440	117	1142	Big 12
Northwestern	635	44	.4418	125	1177	Big Ten
Rice	570	32	.4392	101	1045	C-USA
Idaho	569	26	.4377	114	1035	Independent
Louisiana-Monroe	374	8	.4324	62	666	Sun Belt
Florida Atlantic	83	0	.4236	12	144	C-USA
Indiana	636	44	.4192	125	1133	Big Ten
New Mexico State	586	30	.4159	116	1029	Independent
Buffalo	490	28	.4153	99	862	MAC
Wake Forest	616	33	.4111	111	1074	ACC
UTEP	542	30	.4100	95	944	C-USA
UNLV	301	4	.4082	45	512	Mountain West
Kent State	508	28	.3951	90	863	MAC
FIU	88	0	.3231	11	130	C-USA
Georgia State 1	23	0	.3030	3	33	Sun Belt
