Episode	First broadcast	Andrew and Georgies guest	Jamie and Johns guest	Scores
01x01	11 March 2010	Neil Morrissey	David Haye	9–5
01x02	18 March 2010	Alastair Campbell	Ruth Jones	12–9
01x03	25 March 2010	Neil Morrissey	Abbey Clancy	7–8
01x04	1 April 2010	Dara Ó Briain	Steve Harmison	13–7
01x05	8 April 2010	Jack Whitehall	Amir Khan	9–8
01x06	15 April 2010	Jimmy Carr	Karen Pickering	8–5
01x07	22 April 2010	Dara Ó Briain	Claudia Winkleman	7–8
01x08	29 April 2010	Bob Mortimer	Tom Daley	4–7
01x09	6 May 2010	Ardal O'Hanlon	Gabby Logan	6–8
01x10	13 May 2010	Stephen Mangan	Matthew Le Tissier	9–11
