Player	Nationality	Position	Years for Grizzlies	School/Club Team
J. R. Sakuragi (J. R. Henderson)	United States	Small forward	1998-1999	UCLA
Jason Sasser	United States	Small forward	1998-1999	Texas Tech
Byron Scott	United States	Guard	1995-1996	Arizona State
Dennis Scott	United States	Guard-Forward	1999-2000	Georgia Tech
Ishmael Smith	United States	Guard	2011-2011	Wake Forest
Michael Smith	United States	Small forward	1997-1999	Providence
Theron Smith	United States	Small forward	2003-2004	Ball State
Will Solomon	United States	Guard	2001-2002	Clemson
Marreese Speights	United States	Power forward / Center	2012-2013	Florida
Joe Stephens	United States	Small forward	1999-2000	Arkansas
Damon Stoudamire	United States	Point guard	2006-2008	Arizona
Erick Strickland	United States	Guard	2001	Nebraska
Stromile Swift	United States	Power forward	2000-2005, 2006-2008	LSU
