Tie no	Home team	Score	Away team	Date
1	Blackpool	0–1	Chelsea	15 January 1972
2	Burnley	0–1	Huddersfield Town	15 January 1972
3	Bury	1–1	Rotherham United	15 January 1972
Replay	Rotherham United	2–1	Bury	24 January 1972
4	Preston North End	4–2	Bristol City	15 January 1972
5	Southampton	1–1	Manchester United	15 January 1972
Replay	Manchester United	4–1	Southampton	19 January 1972
6	Watford	1–4	Notts County	15 January 1972
7	Walsall	1–0	A.F.C. Bournemouth	15 January 1972
8	Bolton Wanderers	2–1	Torquay United	15 January 1972
9	Wolverhampton Wanderers	1–1	Leicester City	15 January 1972
Replay	Leicester City	2–0	Wolverhampton Wanderers	19 January 1972
10	West Bromwich Albion	1–2	Coventry City	15 January 1972
11	Sunderland	3–0	Sheffield Wednesday	15 January 1972
12	Derby County	2–0	Shrewsbury Town	15 January 1972
13	Swindon Town	0–2	Arsenal	15 January 1972
14	Sheffield United	1–3	Cardiff City	15 January 1972
15	Newcastle United	2–2	Hereford United	24 January 1972
Replay	Hereford United	2–1	Newcastle United	5 February 1972
16	Tottenham Hotspur	1–1	Carlisle United	15 January 1972
Replay	Carlisle United	1–3	Tottenham Hotspur	18 January 1972
17	Manchester City	1–1	Middlesbrough	15 January 1972
Replay	Middlesbrough	1–0	Manchester City	18 January 1972
18	Queens Park Rangers	1–1	Fulham	15 January 1972
Replay	Fulham	2–1	Queens Park Rangers	18 January 1972
19	West Ham United	2–1	Luton Town	15 January 1972
20	Norwich City	0–3	Hull City	15 January 1972
21	Millwall	3–1	Nottingham Forest	15 January 1972
22	Crystal Palace	2–2	Everton	15 January 1972
Replay	Everton	3–2	Crystal Palace	18 January 1972
23	Blyth Spartans	2–2	Reading	15 January 1972
Replay	Reading	6–1	Blyth Spartans	19 January 1972
24	Charlton Athletic	0–0	Tranmere Rovers	15 January 1972
Replay	Tranmere Rovers	4–2	Charlton Athletic	17 January 1972
25	Leeds United	4–1	Bristol Rovers	15 January 1972
26	Stoke City	2–1	Chesterfield	15 January 1972
27	Boston United	0–1	Portsmouth	15 January 1972
28	Peterborough United	0–2	Ipswich Town	15 January 1972
29	Birmingham City	3–0	Port Vale	15 January 1972
30	Oxford United	0–3	Liverpool	15 January 1972
31	Orient	3–0	Wrexham	15 January 1972
32	Swansea City	1–0	Gillingham	15 January 1972
