Week	Date	Opponent	Result	Attendance
1	August 31, 1997	Atlanta Falcons	W 28-17	61,244
2	September 7, 1997	Tampa Bay Buccaneers	L 24-17	58,234
3	September 14, 1997	at Chicago Bears	W 32-7	59,147
4	September 21, 1997	at New Orleans Saints	L 35-17	50,116
5	September 28, 1997	Green Bay Packers	W 26-15	78,110
6	October 5, 1997	at Buffalo Bills	L 22-13	78,025
7	October 12, 1997	at Tampa Bay Buccaneers	W 27-9	72,095
8	October 19, 1997	New York Giants	L 26-20 OT	70,069
9	Bye	Bye	Bye	Bye
10	November 2, 1997	at Green Bay Packers	L 20-10	60,126
11	November 9, 1997	at Washington Redskins	L 30-7	75,261
12	November 16, 1997	Minnesota Vikings	W 38-15	68,910
13	November 23, 1997	Indianapolis Colts	W 32-10	62,803
14	November 27, 1997	Chicago Bears	W 55-20	77,904
15	December 7, 1997	at Miami Dolphins	L 33-30	72,266
16	December 14, 1997	at Minnesota Vikings	W 14-13	60,982
17	December 21, 1997	New York Jets	W 13-10	77,624
