season	division	date	home team	result	away team
2001-02	MTN 8 Semi-final	25 August 2001	Kaizer Chiefs	1–0	Orlando Pirates
2001-02	Premier Soccer League	15 December 2001	Kaizer Chiefs	0–3	Orlando Pirates
2001-02	Premier Soccer League	4 May 2002	Orlando Pirates	1–1	Orlando Pirates
2002-03	Premier Soccer League	7 December 2002	Orlando Pirates	1–1	Kaizer Chiefs
2002-03	Premier Soccer League	14 March 2003	Kaizer Chiefs	2–0	Orlando Pirates
2003-04	Premier Soccer League	13 December 2003	Kaizer Chiefs	1–0	Orlando Pirates
2003-04	Premier Soccer League	1 May 2004	Orlando Pirates	1–0	Kaizer Chiefs
2004-05	Premier Soccer League	29 October 2004	Orlando Pirates	2–1	Kaizer Chiefs
2004-05	Premier Soccer League	29 April 2005	Kaizer Chiefs	1–1	Orlando Pirates
2005-06	Premier Soccer League	28 October 2005	Kaizer Chiefs	2–0	Orlando Pirates
2005-06	Premier Soccer League	9 December 2005	Orlando Pirates	0–1	Kaizer Chiefs
2005-06	Nedbank Cup Final	19 May 2006	Kaizer Chiefs *	0–0 (5–3 pk)	Orlando Pirates
2006-07	Premier Soccer League	8 December 2006	Kaizer Chiefs	1–1	Orlando Pirates
2006-07	Premier Soccer League	27 April 2007	Orlando Pirates	1–1	Kaizer Chiefs
2007-08	Premier Soccer League	24 November 2007	Orlando Pirates	2–2	Kaizer Chiefs
2007-08	Premier Soccer League	10 May 2008	Kaizer Chiefs	1–0	Orlando Pirates
2008-09	Premier Soccer League	15 November 2008	Kaizer Chiefs	0–2	Orlando Pirates
2008-09	Premier Soccer League	2 May 2009	Orlando Pirates	2–1	Kaizer Chiefs
2009-10	Premier Soccer League	31 October 2009	Kaizer Chiefs	0–0	Orlando Pirates
2009-10	Premier Soccer League	20 February 2010	Orlando Pirates	0–0	Kaizer Chiefs
2009-10	League Cup Final	5 April 2010	Orlando Pirates *	0–0 (0–3 pk)	Kaizer Chiefs
2010-11	MTN 8 Semi-final	11 September 2010	Orlando Pirates	1–1	Kaizer Chiefs
2010-11	MTN 8 Semi-final replay	26 September 2010	Kaizer Chiefs	0–1	Orlando Pirates
2010-11	Premier Soccer League	13 November 2010	Orlando Pirates	1–3	Kaizer Chiefs
2010-11	League Cup Final	3 December 2010	Orlando Pirates *	0–3	Kaizer Chiefs
2010-11	Premier Soccer League	26 June 2011	Kaizer Chiefs	1–1	Orlando Pirates
2011-12	MTN 8 Final	10 September 2011	Orlando Pirates *	1–0 (aet)	Kaizer Chiefs
2011-12	Premier Soccer League	17 September 2011	Kaizer Chiefs	2–1	Orlando Pirates (Sea Robbers)
