Year	Competition	Venue	Position	Notes
1999	World Race Walking Cup	Mézidon-Canon , France	55th	20km
2002	World Race Walking Cup	Turin, Italy	29th	50km
2002	Commonwealth Games	Manchester , England	2nd	20km
2003	World Championships	Paris, France	5th	20 km
2004	Olympic Games	Athens , Greece	16th	20 km
2004	World Race Walking Cup	Naumburg , Germany	14th	20km
2005	World Championships	Helsinki , Finland	10th	20 km
2006	Commonwealth Games	Melbourne , Australia	2nd	20km
2006	World Race Walking Cup	La Coruña , Spain	18th	20km
2007	World Championships	Osaka , Japan	7th	20 km
2008	Olympic Games	Beijing , PR China	6th	20 km
2009	World Championships	Berlin, Germany	18th	20 km
2009	World Championships	Berlin, Germany	6th	50 km
2010	World Race Walking Cup	Chihuahua, Mexico	DNF	50km
2010	Commonwealth Games	Delhi , India	2nd	20km
2012	Olympic Games	London , United Kingdom	27th	50 km
