Rank	Nation	Gold	Silver	Bronze	Total
1	United States (USA)	89	88	60	237
2	Austria (AUT)	88	82	83	253
3	Germany (GER)	46	30	34	110
4	Switzerland (SUI)	41	39	24	104
5	France (FRA)	30	33	30	93
6	West Germany (FRG)	25	20	22	67
7	Canada (CAN)	21	35	35	91
8	New Zealand (NZL)	15	5	7	27
9	Spain (ESP)	14	12	9	35
10	Australia (AUS)	11	6	11	28
11	Sweden (SWE)	10	12	9	31
12	Italy (ITA)	8	16	20	44
13	Slovakia (SVK)	6	12	15	33
14	Norway (NOR)	6	4	2	12
15	Czech Republic (CZE)	5	5	5	15
16	Japan (JPN)	4	10	16	30
17	Czechoslovakia (TCH)	3	4	1	8
18	Russia (RUS)	2	0	3	5
19	Great Britain (GBR)	0	1	9	10
20	Denmark (DEN)	0	1	0	1
20	South Korea (KOR)	0	1	0	1
22	Poland (POL)	0	0	7	7
23	Belgium (BEL)	0	0	1	1
23	Liechtenstein (LIE)	0	0	1	1
23	Yugoslavia (YUG)	0	0	1	1
Total 25 nations	Total 25 nations	424	416	405	1245
