Rank	Player	Club(s)	Year(s)	U-17 Caps
1	Ignacio Camacho	Atlético Madrid	2006–2007	25
2	Albert Dalmau	Barcelona	2008–2009	23
3	Borja González	Atlético Madrid	2008–2009	22
4	Isco Alarcón	Valencia	2008–2009	21
4	Francisco Javier García	Real Madrid	2003–2005	21
4	Jaime Gavilán	Valencia	2001–2003	21
4	Jorge Resurrección 'Koke'	Atlético Madrid	2008–2009	21
4	David Rodríguez	Atlético Madrid	2002–2003	21
9	Gerard Deulofeu	Barcelona	2009–2011	20
9	Bojan Krkić	Barcelona	2006–2007	20
9	Iker Muniain	Athletic Bilbao	2008–2009	20
9	Pablo Sarabia	Real Madrid	2008–2009	20
9	David Silva	Valencia	2002–2003	20
