Pick	Player	Position	Nationality	Former Team
2	Dell Curry	Guard	United States	Cleveland Cavaliers
4	Dave Hoppen	Forward	United States	Golden State Warriors
6	Tyrone Bogues	Point Guard	United States	Washington Bullets
8	Mike Brown	Point Guard	United States	Chicago Bulls
10	Rickey Green	Forward	United States	Utah Jazz
12	Michael Holton	Forward	United States	Portland Trail Blazers
14	Michael Brooks	Small Forward	United States	Denver Nuggets
16	Bernard Thompson	Centre	United States	Phoenix Suns
18	Ralph Lewis	Guard-Forward	United States	Detroit Pistons
20	Clinton Wheeler	Forward	United States	Indiana Pacers
22	Sedric Toney	Centre	United States	New York Knicks
