Game #	Date	Visitor	Score	Home	Record	Points
24	December 1	Toronto	3 - 8	New Jersey	11-10-3	25
25	December 3	Toronto	3 - 4	Chicago	11-11-3	25
26	December 5	Chicago	2 - 2	Toronto	11-11-4	26
27	December 6	Toronto	0 - 6	N.Y. Rangers	11-12-4	26
28	December 9	Detroit	5 - 3	Toronto	12-12-4	28
29	December 11	Calgary	3 - 6	Toronto	12-13-4	28
30	December 15	Toronto	5 - 6	Minnesota	12-14-4	28
31	December 19	Ottawa	5 - 1	Toronto	13-14-4	30
32	December 20	Toronto	4 - 5	Buffalo	13-15-4	30
33	December 22	Toronto	4 - 4	Detroit	13-15-5	31
34	December 26	Detroit	1 - 5	Toronto	13-16-5	31
35	December 27	Toronto	6 - 3	St. Louis	14-16-5	33
36	December 29	Toronto	3 - 2	N.Y. Islanders	15-16-5	35
37	December 31	Toronto	3 - 3	Pittsburgh	15-16-6	36
