Season	Team	Conference (Conf.)	Division (Div.)	Win%	Awards
Buffalo Braves	Buffalo Braves	Buffalo Braves	Buffalo Braves	Buffalo Braves	Buffalo Braves
1970–71	1970-71	Eastern	Atlantic	.268	—
1971–72	1971-72	Eastern	Atlantic	.268	—
1972–73	1972-73	Eastern	Atlantic	.256	Bob McAdoo ( ROY )
1973–74	1973-74	Eastern	Atlantic	.512	Ernie DiGregorio ( ROY ) Eddie Donovan ( EOY )
1974–75	1974-75	Eastern	Atlantic	.598	Bob McAdoo ( MVP )
1975–76	1975-76	Eastern	Atlantic	.561	—
1976–77	1976-77	Eastern	Atlantic	.366	Adrian Dantley ( ROY )
1977–78	1977-78	Eastern	Atlantic	.329	Randy Smith ( AMVP )
San Diego Clippers	San Diego Clippers	San Diego Clippers	San Diego Clippers	San Diego Clippers	San Diego Clippers
1978–79	1978-79	Western	Pacific	.524	—
1979–80	1979-80	Western	Pacific	.427	—
1980–81	1980-81	Western	Pacific	.439	—
1981–82	1981-82	Western	Pacific	.207	—
1982–83	1982-83	Western	Pacific	.305	Terry Cummings ( ROY )
1983–84	1983-84	Western	Pacific	.366	—
Los Angeles Clippers	Los Angeles Clippers	Los Angeles Clippers	Los Angeles Clippers	Los Angeles Clippers	Los Angeles Clippers
1984–85	1984-85	Western	Pacific	.378	—
1985–86	1985-86	Western	Pacific	.390	—
1986–87	1986-87	Western	Pacific	.146	—
1987–88	1987-88	Western	Pacific	.207	—
1988–89	1988-89	Western	Pacific	.256	—
1989–90	1989-90	Western	Pacific	.366	—
1990–91	1990-91	Western	Pacific	.378	—
1991–92	1991-92	Western	Pacific	.549	—
1992–93	1992-93	Western	Pacific	.500	—
1993–94	1993-94	Western	Pacific	.329	—
1994–95	1994-95	Western	Pacific	.207	—
1995–96	1995-96	Western	Pacific	.354	—
1996–97	1996-97	Western	Pacific	.439	—
1997–98	1997-98	Western	Pacific	.207	—
1998–99	1998-99	Western	Pacific	.180	—
1999–00	1999-00	Western	Pacific	.183	—
2000–01	2000-01	Western	Pacific	.378	—
2001–02	2001-02	Western	Pacific	.476	—
2002–03	2002-03	Western	Pacific	.329	—
2003–04	2003-04	Western	Pacific	.341	—
2004–05	2004-05	Western	Pacific	.451	Bobby Simmons ( MIP )
2005–06	2005-06	Western	Pacific	.573	Elgin Baylor ( EOY ) Elton Brand ( SPOR )
2006–07	2006-07	Western	Pacific	.488	—
2007–08	2007-08	Western	Pacific	.280	—
2008–09	2008-09	Western	Pacific	.232	—
2009–10	2009-10	Western	Pacific	.353	—
2010–11	2010-11	Western	Pacific	.390	Blake Griffin ( ROY )
2011–12	2011-12	Western	Pacific	.606	—
2012-13	2012-13	Western	Pacific	.683	Chris Paul ( AMVP )
